sim_id,bkr,cell,rot,expected perms,actual perms
id19,129,488047,9120,3,0
id19,129,488047,9110,3,1
id19,129,488047,9130,3,0
id19,134,404141,7130,4,3
id19,134,450183,7130,4,1
id19,141,488052,8110,3,2
id19,141,488052,8120,4,2
id19,142,394054,6110,3,2
id19,143,474107,5120,3,2
id19,143,474107,5110,3,2
id19,143,347235,5120,3,2
id19,143,347235,5110,3,1
id19,143,347235,5130,3,1
id19,146,301205,1120,4,3
id19,146,301205,1110,3,2
id19,146,301205,1130,2,0
id19,147,323191,3120,4,2
id19,147,323191,3130,2,1
id19,147,323191,3110,3,1
id19,148,324134,2120,3,2
id19,148,324134,2130,2,1
id19,148,356075,2110,3,1
id19,148,357060,2120,3,2
id19,148,357060,2130,2,0
id19,191,334175,4120,4,3
id19,191,332168,4120,4,1
id19,191,332168,4110,4,2
