ID,Purpose,Timeframe,Fert strategy,Residues management,Cover crops,Production level,rcp,climate model,yield,"humbal correction (heavy, medium, light soils)"
4,design_extr_recipe,continuous,BASE,zero,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
15,potentials_study,continuous,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,0-0-0
16,potentials_study,continuous,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,400-400-400
