bkr,cellID,rotation,permutations
142,360157,6130,4
142,360157,6110,3
142,360157,6120,3
142,436082,6130,4
142,436082,6110,3
142,436082,6120,3
148,369081,2110,3
148,369081,2120,3
148,369081,2130,2
143,392152,5120,3
143,392152,5110,3
143,392152,5130,3
143,341219,5120,3
143,341219,5110,3
143,341219,5130,3
143,377206,5120,3
143,377206,5110,3
143,377206,5130,3
141,479045,8110,3
141,479045,8130,3
141,479045,8120,4
142,449074,6130,4
142,449074,6110,3
142,449074,6120,3
142,331106,6130,4
142,331106,6110,3
142,331106,6120,3
191,303128,4120,4
191,303128,4110,4
141,492063,8110,3
141,492063,8130,3
141,492063,8120,4
134,402211,7130,4
134,402211,7110,3
134,402211,7120,3
134,425114,7130,4
134,425114,7110,3
134,425114,7120,3
148,374063,2110,3
148,374063,2120,3
148,374063,2130,2
142,411035,6130,4
142,411035,6110,3
142,411035,6120,3
148,344126,2110,3
148,344126,2120,3
148,344126,2130,2
148,307114,2110,3
148,307114,2120,3
148,307114,2130,2
142,380171,6130,4
142,380171,6110,3
142,380171,6120,3
141,468039,8110,3
141,468039,8130,3
141,468039,8120,4
141,454022,8110,3
141,454022,8130,3
141,454022,8120,4
142,387091,6130,4
142,387091,6110,3
142,387091,6120,3
142,373110,6130,4
142,373110,6110,3
142,373110,6120,3
143,356231,5120,3
143,356231,5110,3
143,356231,5130,3
191,348211,4120,4
191,348211,4110,4
142,467086,6130,4
142,467086,6110,3
142,467086,6120,3
143,430078,5120,3
143,430078,5110,3
143,430078,5130,3
142,400109,6130,4
142,400109,6110,3
142,400109,6120,3
146,309204,1120,4
146,309204,1110,3
146,309204,1130,2
142,386048,6130,4
142,386048,6110,3
142,386048,6120,3
148,335087,2110,3
148,335087,2120,3
148,335087,2130,2
143,358220,5120,3
143,358220,5110,3
143,358220,5130,3
141,480074,8110,3
141,480074,8130,3
141,480074,8120,4
141,443062,8110,3
141,443062,8130,3
141,443062,8120,4
142,362034,6130,4
142,362034,6110,3
142,362034,6120,3
142,415060,6130,4
142,415060,6110,3
142,415060,6120,3
143,336212,5120,3
143,336212,5110,3
143,336212,5130,3
148,348113,2110,3
148,348113,2120,3
148,348113,2130,2
141,456050,8110,3
141,456050,8130,3
141,456050,8120,4
143,405103,5120,3
143,405103,5110,3
143,405103,5130,3
142,361123,6130,4
142,361123,6110,3
142,361123,6120,3
142,384174,6130,4
142,384174,6110,3
142,384174,6120,3
147,333197,3120,4
147,333197,3130,2
147,333197,3110,3
134,432154,7130,4
134,432154,7110,3
134,432154,7120,3
142,369015,6130,4
142,369015,6110,3
142,369015,6120,3
142,367026,6130,4
142,367026,6110,3
142,367026,6120,3
142,390039,6130,4
142,390039,6110,3
142,390039,6120,3
143,346227,5120,3
143,346227,5110,3
143,346227,5130,3
141,447035,8110,3
141,447035,8130,3
141,447035,8120,4
147,318192,3120,4
147,318192,3130,2
147,318192,3110,3
148,366081,2110,3
148,366081,2120,3
148,366081,2130,2
134,403201,7130,4
134,403201,7110,3
134,403201,7120,3
142,336100,6130,4
142,336100,6110,3
142,336100,6120,3
146,308202,1120,4
146,308202,1110,3
146,308202,1130,2
141,460061,8110,3
141,460061,8130,3
141,460061,8120,4
142,379183,6130,4
142,379183,6110,3
142,379183,6120,3
143,342218,5120,3
143,342218,5110,3
143,342218,5130,3
142,365120,6130,4
142,365120,6110,3
142,365120,6120,3
134,388177,7130,4
134,388177,7110,3
134,388177,7120,3
141,473047,8110,3
141,473047,8130,3
141,473047,8120,4
143,422080,5120,3
143,422080,5110,3
143,422080,5130,3
148,318129,2110,3
148,318129,2120,3
148,318129,2130,2
142,341096,6130,4
142,341096,6110,3
142,341096,6120,3
148,327077,2110,3
148,327077,2120,3
148,327077,2130,2
134,398136,7130,4
134,398136,7110,3
134,398136,7120,3
142,368017,6130,4
142,368017,6110,3
142,368017,6120,3
143,351221,5120,3
143,351221,5110,3
143,351221,5130,3
148,354092,2110,3
148,354092,2120,3
148,354092,2130,2
148,340159,2110,3
148,340159,2120,3
148,340159,2130,2
148,369179,2110,3
148,369179,2120,3
148,369179,2130,2
146,296221,1120,4
146,296221,1110,3
146,296221,1130,2
141,448008,8110,3
141,448008,8130,3
141,448008,8120,4
134,411188,7130,4
134,411188,7110,3
134,411188,7120,3
142,383168,6130,4
142,383168,6110,3
142,383168,6120,3
134,420166,7130,4
134,420166,7110,3
134,420166,7120,3
146,293176,1120,4
146,293176,1110,3
146,293176,1130,2
142,365145,6130,4
142,365145,6110,3
142,365145,6120,3
148,353141,2110,3
148,353141,2120,3
148,353141,2130,2
148,316119,2110,3
148,316119,2120,3
148,316119,2130,2
146,302198,1120,4
146,302198,1110,3
146,302198,1130,2
129,505058,9120,3
129,505058,9110,3
129,505058,9130,3
147,306140,3120,4
147,306140,3130,2
147,306140,3110,3
142,329117,6130,4
142,329117,6110,3
142,329117,6120,3
141,439025,8110,3
141,439025,8130,3
141,439025,8120,4
142,386135,6130,4
142,386135,6110,3
142,386135,6120,3
142,372044,6130,4
142,372044,6110,3
142,372044,6120,3
143,409094,5120,3
143,409094,5110,3
143,409094,5130,3
