bkr,cellID,rotation,permutations
148,358075,2110,3
148,358075,2120,3
148,358075,2130,2
148,328138,2110,3
148,328138,2120,3
148,328138,2130,2
146,300208,1120,4
146,300208,1110,3
146,300208,1130,2
142,376150,6130,4
142,376150,6110,3
142,376150,6120,3
141,452043,8110,3
141,452043,8130,3
141,452043,8120,4
142,438066,6130,4
142,438066,6110,3
142,438066,6120,3
142,385118,6130,4
142,385118,6110,3
142,385118,6120,3
142,371157,6130,4
142,371157,6110,3
142,371157,6120,3
134,408145,7130,4
134,408145,7110,3
134,408145,7120,3
142,357146,6130,4
142,357146,6110,3
142,357146,6120,3
129,509055,9120,3
129,509055,9110,3
129,509055,9130,3
141,465049,8110,3
141,465049,8130,3
141,465049,8120,4
134,414122,7130,4
134,414122,7110,3
134,414122,7120,3
142,384057,6130,4
142,384057,6110,3
142,384057,6120,3
148,333122,2110,3
148,333122,2120,3
148,333122,2130,2
147,319187,3120,4
147,319187,3130,2
147,319187,3110,3
148,376068,2110,3
148,376068,2120,3
148,376068,2130,2
141,441041,8110,3
141,441041,8130,3
141,441041,8120,4
142,390146,6130,4
142,390146,6110,3
142,390146,6120,3
148,360055,2110,3
148,360055,2120,3
148,360055,2130,2
148,346118,2110,3
148,346118,2120,3
148,346118,2130,2
148,332133,2110,3
148,332133,2120,3
148,332133,2130,2
141,470031,8110,3
141,470031,8130,3
141,470031,8120,4
143,440094,5120,3
143,440094,5110,3
143,440094,5130,3
143,426081,5120,3
143,426081,5110,3
143,426081,5130,3
142,389107,6130,4
142,389107,6110,3
142,389107,6120,3
142,375150,6130,4
142,375150,6110,3
142,375150,6120,3
134,412156,7130,4
134,412156,7110,3
134,412156,7120,3
148,345167,2110,3
148,345167,2120,3
148,345167,2130,2
146,294216,1120,4
146,294216,1110,3
146,294216,1130,2
142,416054,6130,4
142,416054,6110,3
142,416054,6120,3
143,455111,5120,3
143,455111,5110,3
143,455111,5130,3
142,388036,6130,4
142,388036,6110,3
142,388036,6120,3
148,321079,2110,3
148,321079,2120,3
148,321079,2130,2
147,307140,3120,4
147,307140,3130,2
147,307140,3110,3
141,445038,8110,3
141,445038,8130,3
141,445038,8120,4
148,364058,2110,3
148,364058,2120,3
148,364058,2130,2
148,350125,2110,3
148,350125,2120,3
148,350125,2130,2
148,368190,2110,3
148,368190,2120,3
148,368190,2130,2
142,368140,6130,4
142,368140,6110,3
142,368140,6120,3
143,407095,5120,3
143,407095,5110,3
143,407095,5130,3
142,364144,6130,4
142,364144,6110,3
142,364144,6120,3
142,363131,6130,4
142,363131,6110,3
142,363131,6120,3
148,349172,2110,3
148,349172,2120,3
148,349172,2130,2
134,448131,7130,4
134,448131,7110,3
134,448131,7120,3
142,420041,6130,4
142,420041,6110,3
142,420041,6120,3
142,339091,6130,4
142,339091,6110,3
142,339091,6120,3
146,297217,1120,4
146,297217,1110,3
146,297217,1130,2
148,325084,2110,3
148,325084,2120,3
148,325084,2130,2
147,313207,3120,4
147,313207,3130,2
147,313207,3110,3
141,433051,8110,3
141,433051,8130,3
141,433051,8120,4
143,382238,5120,3
143,382238,5110,3
143,382238,5130,3
148,352077,2110,3
148,352077,2120,3
148,352077,2130,2
142,338112,6130,4
142,338112,6110,3
142,338112,6120,3
191,301124,4120,4
191,301124,4110,4
143,364202,5120,3
143,364202,5110,3
143,364202,5130,3
148,344156,2110,3
148,344156,2120,3
148,344156,2130,2
148,314104,2110,3
148,314104,2120,3
148,314104,2130,2
142,408028,6130,4
142,408028,6110,3
142,408028,6120,3
148,343084,2110,3
148,343084,2120,3
148,343084,2130,2
142,347142,6130,4
142,347142,6110,3
142,347142,6120,3
143,370229,5120,3
143,370229,5110,3
143,370229,5130,3
148,356080,2110,3
148,356080,2120,3
148,356080,2130,2
147,306207,3120,4
147,306207,3130,2
147,306207,3110,3
141,450060,8110,3
141,450060,8130,3
141,450060,8120,4
142,399117,6130,4
142,399117,6110,3
142,399117,6120,3
148,318127,2110,3
148,318127,2120,3
148,318127,2130,2
143,330217,5120,3
143,330217,5110,3
143,330217,5130,3
143,341198,5120,3
143,341198,5110,3
143,341198,5130,3
143,389208,5120,3
143,389208,5110,3
143,389208,5130,3
142,398038,6130,4
142,398038,6110,3
142,398038,6120,3
148,331065,2110,3
148,331065,2120,3
148,331065,2130,2
143,374208,5120,3
143,374208,5110,3
143,374208,5130,3
143,411070,5120,3
143,411070,5110,3
143,411070,5130,3
142,377162,6130,4
142,377162,6110,3
142,377162,6120,3
142,344099,6130,4
142,344099,6110,3
142,344099,6120,3
143,316217,5120,3
143,316217,5110,3
143,316217,5130,3
141,482049,8110,3
141,482049,8130,3
141,482049,8120,4
141,468012,8110,3
141,468012,8130,3
141,468012,8120,4
141,454043,8110,3
141,454043,8130,3
141,454043,8120,4
134,424106,7130,4
134,424106,7110,3
134,424106,7120,3
142,387126,6130,4
142,387126,6110,3
142,387126,6120,3
148,306114,2110,3
148,306114,2120,3
148,306114,2130,2
143,329211,5120,3
143,329211,5110,3
143,329211,5130,3
147,314197,3120,4
147,314197,3130,2
147,314197,3110,3
142,430051,6130,4
142,430051,6110,3
142,430051,6120,3
142,326128,6130,4
142,326128,6110,3
142,326128,6120,3
142,386045,6130,4
142,386045,6110,3
142,386045,6120,3
142,335114,6130,4
142,335114,6110,3
142,335114,6120,3
141,429026,8110,3
141,429026,8130,3
141,429026,8120,4
143,362207,5120,3
143,362207,5110,3
143,362207,5130,3
142,348110,6130,4
142,348110,6110,3
142,348110,6120,3
146,304204,1120,4
146,304204,1110,3
146,304204,1130,2
141,456023,8110,3
141,456023,8130,3
141,456023,8120,4
142,442086,6130,4
142,442086,6110,3
142,442086,6120,3
142,359167,6130,4
142,359167,6110,3
142,359167,6120,3
134,428101,7130,4
134,428101,7110,3
134,428101,7120,3
134,384195,7130,4
134,384195,7110,3
134,384195,7120,3
148,339129,2110,3
148,339129,2120,3
148,339129,2130,2
134,441135,7130,4
134,441135,7110,3
134,441135,7120,3
134,404125,7130,4
134,404125,7110,3
134,404125,7120,3
143,359243,5120,3
143,359243,5110,3
143,359243,5130,3
142,390056,6130,4
142,390056,6110,3
142,390056,6120,3
148,335163,2110,3
148,335163,2120,3
148,335163,2130,2
148,323103,2110,3
148,323103,2120,3
148,323103,2130,2
141,447014,8110,3
141,447014,8130,3
141,447014,8120,4
143,394134,5120,3
143,394134,5110,3
143,394134,5130,3
148,366186,2110,3
148,366186,2120,3
148,366186,2130,2
148,336121,2110,3
148,336121,2120,3
148,336121,2130,2
141,488068,8110,3
141,488068,8130,3
141,488068,8120,4
141,460026,8110,3
141,460026,8130,3
141,460026,8120,4
143,446093,5120,3
143,446093,5110,3
143,446093,5130,3
142,379170,6130,4
142,379170,6110,3
142,379170,6120,3
134,416144,7130,4
134,416144,7110,3
134,416144,7120,3
147,313188,3120,4
147,313188,3130,2
147,313188,3110,3
143,388222,5120,3
143,388222,5110,3
143,388222,5130,3
142,369033,6130,4
142,369033,6110,3
142,369033,6120,3
142,422053,6130,4
142,422053,6110,3
142,422053,6120,3
142,392104,6130,4
142,392104,6110,3
142,392104,6120,3
148,341075,2110,3
148,341075,2120,3
148,341075,2130,2
142,327104,6130,4
142,327104,6110,3
142,327104,6120,3
142,435059,6130,4
142,435059,6110,3
142,435059,6120,3
134,398173,7130,4
134,398173,7110,3
134,398173,7120,3
148,354185,2110,3
148,354185,2120,3
148,354185,2130,2
141,492079,8110,3
141,492079,8130,3
141,492079,8120,4
141,448045,8110,3
141,448045,8130,3
141,448045,8120,4
142,397092,6130,4
142,397092,6110,3
142,397092,6120,3
142,383183,6130,4
142,383183,6110,3
142,383183,6120,3
134,415168,7130,4
134,415168,7110,3
134,415168,7120,3
148,316108,2110,3
148,316108,2120,3
148,316108,2130,2
143,352227,5120,3
143,352227,5110,3
143,352227,5130,3
142,373030,6130,4
142,373030,6110,3
142,373030,6120,3
143,348221,5120,3
143,348221,5110,3
143,348221,5130,3
142,359031,6130,4
142,359031,6110,3
142,359031,6120,3
142,396107,6130,4
142,396107,6110,3
142,396107,6120,3
148,329088,2110,3
148,329088,2120,3
148,329088,2130,2
147,301214,3120,4
147,301214,3130,2
147,301214,3110,3
141,439052,8110,3
141,439052,8130,3
141,439052,8120,4
142,386160,6130,4
142,386160,6110,3
142,386160,6120,3
142,358172,6130,4
142,358172,6110,3
142,358172,6120,3
134,395178,7130,4
134,395178,7110,3
134,395178,7120,3
141,480058,8110,3
141,480058,8130,3
141,480058,8120,4
134,443174,7130,4
134,443174,7110,3
134,443174,7120,3
148,352189,2110,3
148,352189,2120,3
148,352189,2130,2
142,376123,6130,4
142,376123,6110,3
142,376123,6120,3
141,452048,8110,3
141,452048,8130,3
141,452048,8120,4
142,385105,6130,4
142,385105,6110,3
142,385105,6120,3
142,371128,6130,4
142,371128,6110,3
142,371128,6120,3
148,348151,2110,3
148,348151,2120,3
148,348151,2130,2
142,361011,6130,4
142,361011,6110,3
142,361011,6120,3
142,414031,6130,4
142,414031,6110,3
142,414031,6120,3
148,334166,2110,3
148,334166,2120,3
148,334166,2130,2
148,333085,2110,3
148,333085,2120,3
148,333085,2130,2
134,451163,7130,4
134,451163,7110,3
134,451163,7120,3
148,319134,2110,3
148,319134,2120,3
148,319134,2130,2
134,418181,7130,4
134,418181,7110,3
134,418181,7120,3
141,441012,8110,3
141,441012,8130,3
141,441012,8120,4
142,427033,6130,4
142,427033,6110,3
142,427033,6120,3
134,390183,7130,4
134,390183,7110,3
134,390183,7120,3
143,413078,5120,3
143,413078,5110,3
143,413078,5130,3
134,447179,7130,4
134,447179,7110,3
134,447179,7120,3
142,380118,6130,4
142,380118,6110,3
142,380118,6120,3
142,403057,6130,4
142,403057,6110,3
142,403057,6120,3
142,389118,6130,4
142,389118,6110,3
142,389118,6120,3
142,375141,6130,4
142,375141,6110,3
142,375141,6120,3
148,308122,2110,3
148,308122,2120,3
148,308122,2130,2
146,294189,1120,4
146,294189,1110,3
146,294189,1130,2
143,361239,5120,3
143,361239,5110,3
143,361239,5130,3
142,379039,6130,4
142,379039,6110,3
142,379039,6120,3
142,416043,6130,4
142,416043,6110,3
142,416043,6120,3
142,388065,6130,4
142,388065,6110,3
142,388065,6120,3
148,321098,2110,3
148,321098,2120,3
148,321098,2130,2
141,445001,8110,3
141,445001,8130,3
141,445001,8120,4
143,378228,5120,3
143,378228,5110,3
143,378228,5130,3
142,350134,6130,4
142,350134,6110,3
142,350134,6120,3
142,387152,6130,4
142,387152,6110,3
142,387152,6120,3
142,381175,6130,4
142,381175,6110,3
142,381175,6120,3
142,361149,6130,4
142,361149,6110,3
142,361149,6120,3
142,363166,6130,4
142,363166,6110,3
142,363166,6120,3
134,400172,7130,4
134,400172,7110,3
134,400172,7120,3
142,383056,6130,4
142,383056,6110,3
142,383056,6120,3
142,420054,6130,4
142,420054,6110,3
142,420054,6120,3
143,406097,5120,3
143,406097,5110,3
143,406097,5130,3
142,325127,6130,4
142,325127,6110,3
142,325127,6120,3
147,311188,3120,4
147,311188,3130,2
147,311188,3110,3
142,419071,6130,4
142,419071,6110,3
142,419071,6120,3
148,338141,2110,3
148,338141,2120,3
148,338141,2130,2
143,391149,5120,3
143,391149,5110,3
143,391149,5130,3
141,490080,8110,3
141,490080,8130,3
141,490080,8120,4
148,367182,2110,3
148,367182,2120,3
148,367182,2130,2
142,395047,6130,4
142,395047,6110,3
142,395047,6120,3
142,347144,6130,4
142,347144,6110,3
142,347144,6120,3
191,385230,4120,4
191,385230,4110,4
148,334131,2110,3
148,334131,2120,3
148,334131,2130,2
143,357226,5120,3
143,357226,5110,3
143,357226,5130,3
143,394124,5120,3
143,394124,5110,3
143,394124,5130,3
141,465065,8110,3
141,465065,8130,3
141,465065,8120,4
134,414138,7130,4
134,414138,7110,3
134,414138,7120,3
141,437043,8110,3
141,437043,8130,3
141,437043,8120,4
143,423072,5120,3
143,423072,5110,3
143,423072,5130,3
141,464022,8110,3
141,464022,8130,3
141,464022,8120,4
134,427154,7130,4
134,427154,7110,3
134,427154,7120,3
148,360071,2110,3
148,360071,2120,3
148,360071,2130,2
191,345215,4120,4
191,345215,4110,4
146,303202,1120,4
146,303202,1110,3
146,303202,1130,2
141,469062,8110,3
141,469062,8130,3
141,469062,8120,4
147,309191,3120,4
147,309191,3130,2
147,309191,3110,3
142,425056,6130,4
142,425056,6110,3
142,425056,6120,3
142,380146,6130,4
142,380146,6110,3
142,380146,6120,3
142,378107,6130,4
142,378107,6110,3
142,378107,6120,3
148,364074,2110,3
148,364074,2120,3
148,364074,2130,2
142,360148,6130,4
142,360148,6110,3
142,360148,6120,3
142,400039,6130,4
142,400039,6110,3
142,400039,6120,3
147,309197,3120,4
147,309197,3130,2
147,309197,3110,3
141,443008,8110,3
141,443008,8130,3
141,443008,8120,4
142,429053,6130,4
142,429053,6110,3
142,429053,6120,3
143,362232,5120,3
143,362232,5110,3
143,362232,5130,3
141,486057,8110,3
141,486057,8130,3
141,486057,8120,4
142,382126,6130,4
142,382126,6110,3
142,382126,6120,3
142,356160,6130,4
142,356160,6110,3
142,356160,6120,3
148,352061,2110,3
148,352061,2120,3
148,352061,2130,2
142,405045,6130,4
142,405045,6110,3
142,405045,6120,3
147,301140,3120,4
147,301140,3130,2
147,301140,3110,3
148,310122,2110,3
148,310122,2120,3
148,310122,2130,2
142,381047,6130,4
142,381047,6110,3
142,381047,6120,3
142,418027,6130,4
142,418027,6110,3
142,418027,6120,3
147,337201,3120,4
147,337201,3130,2
147,337201,3110,3
142,475071,6130,4
142,475071,6110,3
142,475071,6120,3
141,461040,8110,3
141,461040,8130,3
141,461040,8120,4
141,447021,8110,3
141,447021,8130,3
141,447021,8120,4
143,394227,5120,3
143,394227,5110,3
143,394227,5130,3
143,417066,5120,3
143,417066,5110,3
143,417066,5130,3
143,318219,5120,3
143,318219,5110,3
143,318219,5130,3
142,366159,6130,4
142,366159,6110,3
142,366159,6120,3
134,403147,7130,4
134,403147,7110,3
134,403147,7120,3
147,318184,3120,4
147,318184,3130,2
147,318184,3110,3
143,372192,5120,3
143,372192,5110,3
143,372192,5130,3
142,370117,6130,4
142,370117,6110,3
142,370117,6120,3
142,379129,6130,4
142,379129,6110,3
142,379129,6120,3
143,342205,5120,3
143,342205,5110,3
143,342205,5130,3
143,369206,5120,3
143,369206,5110,3
143,369206,5130,3
141,449029,8110,3
141,449029,8130,3
141,449029,8120,4
142,345092,6130,4
142,345092,6110,3
142,345092,6120,3
148,354146,2110,3
148,354146,2120,3
148,354146,2130,2
148,374064,2110,3
148,374064,2120,3
148,374064,2130,2
142,383146,6130,4
142,383146,6110,3
142,383146,6120,3
142,365154,6130,4
142,365154,6110,3
142,365154,6120,3
147,302140,3120,4
147,302140,3130,2
147,302140,3110,3
129,491053,9120,3
129,491053,9110,3
129,491053,9130,3
142,373057,6130,4
142,373057,6110,3
142,373057,6120,3
142,410053,6130,4
142,410053,6110,3
142,410053,6120,3
142,481104,6130,4
142,481104,6110,3
142,481104,6120,3
141,467045,8110,3
141,467045,8130,3
141,467045,8120,4
134,430163,7130,4
134,430163,7110,3
134,430163,7120,3
148,349081,2110,3
148,349081,2120,3
148,349081,2130,2
191,386221,4120,4
191,386221,4110,4
143,369240,5120,3
143,369240,5110,3
143,369240,5130,3
142,358129,6130,4
142,358129,6110,3
142,358129,6120,3
143,395137,5120,3
143,395137,5110,3
143,395137,5130,3
141,466030,8110,3
141,466030,8130,3
141,466030,8120,4
142,355163,6130,4
142,355163,6110,3
142,355163,6120,3
148,362095,2110,3
148,362095,2120,3
148,362095,2130,2
142,371167,6130,4
142,371167,6110,3
142,371167,6120,3
134,387178,7130,4
134,387178,7110,3
134,387178,7120,3
143,355223,5120,3
143,355223,5110,3
143,355223,5130,3
134,458159,7130,4
134,458159,7110,3
134,458159,7120,3
142,361046,6130,4
142,361046,6110,3
142,361046,6120,3
142,414032,6130,4
142,414032,6110,3
142,414032,6120,3
142,384115,6130,4
142,384115,6110,3
142,384115,6120,3
191,333176,4120,4
191,333176,4110,4
141,471038,8110,3
141,471038,8130,3
141,471038,8120,4
148,367113,2110,3
148,367113,2120,3
148,367113,2130,2
134,390200,7130,4
134,390200,7110,3
134,390200,7120,3
143,413105,5120,3
143,413105,5110,3
143,413105,5130,3
143,355237,5120,3
143,355237,5110,3
143,355237,5130,3
191,346188,4120,4
191,346188,4110,4
134,399170,7130,4
134,399170,7110,3
134,399170,7120,3
142,380083,6130,4
142,380083,6110,3
142,380083,6120,3
142,366042,6130,4
142,366042,6110,3
142,366042,6120,3
134,426135,7130,4
134,426135,7110,3
134,426135,7120,3
142,375168,6130,4
142,375168,6110,3
142,375168,6120,3
146,285192,1120,4
146,285192,1110,3
146,285192,1130,2
143,393167,5120,3
143,393167,5110,3
143,393167,5130,3
142,379026,6130,4
142,379026,6110,3
142,379026,6120,3
148,342130,2110,3
148,342130,2120,3
148,342130,2130,2
142,365035,6130,4
142,365035,6110,3
142,365035,6120,3
142,388110,6130,4
142,388110,6110,3
142,388110,6120,3
148,321133,2110,3
148,321133,2120,3
148,321133,2130,2
141,473066,8110,3
141,473066,8130,3
141,473066,8120,4
141,459051,8110,3
141,459051,8130,3
141,459051,8120,4
148,355098,2110,3
148,355098,2120,3
148,355098,2130,2
143,378193,5120,3
143,378193,5110,3
143,378193,5130,3
146,288185,1120,4
146,288185,1110,3
146,288185,1130,2
134,401126,7130,4
134,401126,7110,3
134,401126,7120,3
148,350171,2110,3
148,350171,2120,3
148,350171,2130,2
141,472053,8110,3
141,472053,8130,3
141,472053,8120,4
148,368070,2110,3
148,368070,2120,3
148,368070,2130,2
142,364159,6130,4
142,364159,6110,3
142,364159,6120,3
148,363189,2110,3
148,363189,2120,3
148,363189,2130,2
129,501039,9120,3
129,501039,9110,3
129,501039,9130,3
143,317212,5120,3
143,317212,5110,3
143,317212,5130,3
141,434032,8110,3
141,434032,8130,3
141,434032,8120,4
143,406090,5120,3
143,406090,5110,3
143,406090,5130,3
146,297210,1120,4
146,297210,1110,3
146,297210,1130,2
142,477079,6130,4
142,477079,6110,3
142,477079,6120,3
142,373142,6130,4
142,373142,6110,3
142,373142,6120,3
148,359111,2110,3
148,359111,2120,3
148,359111,2130,2
143,382212,5120,3
143,382212,5110,3
143,382212,5130,3
148,338166,2110,3
148,338166,2120,3
148,338166,2130,2
134,391176,7130,4
134,391176,7110,3
134,391176,7120,3
143,364209,5120,3
143,364209,5110,3
143,364209,5130,3
141,476056,8110,3
141,476056,8130,3
141,476056,8120,4
142,372121,6130,4
142,372121,6110,3
142,372121,6120,3
148,358060,2110,3
148,358060,2120,3
148,358060,2130,2
191,305128,4120,4
191,305128,4110,4
148,300125,2110,3
148,300125,2120,3
148,300125,2130,2
146,286184,1120,4
146,286184,1110,3
146,286184,1130,2
141,489076,8110,3
141,489076,8130,3
141,489076,8120,4
141,452064,8110,3
141,452064,8130,3
141,452064,8120,4
141,438023,8110,3
141,438023,8130,3
141,438023,8120,4
142,385153,6130,4
142,385153,6110,3
142,385153,6120,3
142,371048,6130,4
142,371048,6110,3
142,371048,6120,3
142,408038,6130,4
142,408038,6110,3
142,408038,6120,3
142,394089,6130,4
142,394089,6110,3
142,394089,6120,3
147,327201,3120,4
147,327201,3130,2
147,327201,3110,3
143,465100,5120,3
143,465100,5110,3
143,465100,5130,3
147,326184,3120,4
147,326184,3130,2
147,326184,3110,3
141,451025,8110,3
141,451025,8130,3
141,451025,8120,4
142,347088,6130,4
142,347088,6110,3
142,347088,6120,3
191,370219,4120,4
191,370219,4110,4
147,306214,3120,4
147,306214,3130,2
147,306214,3110,3
141,464043,8110,3
141,464043,8130,3
141,464043,8120,4
148,360108,2110,3
148,360108,2120,3
148,360108,2130,2
147,330208,3120,4
147,330208,3130,2
147,330208,3110,3
143,373243,5120,3
143,373243,5110,3
143,373243,5130,3
141,493065,8110,3
141,493065,8130,3
141,493065,8120,4
148,336132,2110,3
148,336132,2120,3
148,336132,2130,2
142,389134,6130,4
142,389134,6110,3
142,389134,6120,3
148,375061,2110,3
148,375061,2120,3
148,375061,2130,2
142,412041,6130,4
142,412041,6110,3
142,412041,6120,3
142,398108,6130,4
142,398108,6110,3
142,398108,6120,3
141,483068,8110,3
141,483068,8130,3
141,483068,8120,4
141,469025,8110,3
141,469025,8130,3
141,469025,8120,4
141,455026,8110,3
141,455026,8130,3
141,455026,8120,4
148,351069,2110,3
148,351069,2120,3
148,351069,2130,2
134,429156,7130,4
134,429156,7110,3
134,429156,7120,3
143,374238,5120,3
143,374238,5110,3
143,374238,5130,3
142,377155,6130,4
142,377155,6110,3
142,377155,6120,3
134,431194,7130,4
134,431194,7110,3
134,431194,7120,3
143,373185,5120,3
143,373185,5110,3
143,373185,5130,3
148,364103,2110,3
148,364103,2120,3
148,364103,2130,2
142,387040,6130,4
142,387040,6110,3
142,387040,6120,3
147,320197,3120,4
147,320197,3130,2
147,320197,3110,3
141,444062,8110,3
141,444062,8130,3
141,444062,8120,4
148,340127,2110,3
148,340127,2120,3
148,340127,2130,2
148,363054,2110,3
148,363054,2120,3
148,363054,2130,2
142,386099,6130,4
142,386099,6110,3
142,386099,6120,3
141,487073,8110,3
141,487073,8130,3
141,487073,8120,4
141,457014,8110,3
141,457014,8130,3
141,457014,8120,4
148,353109,2110,3
148,353109,2120,3
148,353109,2130,2
143,362245,5120,3
143,362245,5110,3
143,362245,5130,3
134,433102,7130,4
134,433102,7110,3
134,433102,7120,3
142,382067,6130,4
142,382067,6110,3
142,382067,6120,3
142,359172,6130,4
142,359172,6110,3
142,359172,6120,3
142,391037,6130,4
142,391037,6110,3
142,391037,6120,3
143,324216,5120,3
143,324216,5110,3
143,324216,5130,3
142,462074,6130,4
142,462074,6110,3
142,462074,6120,3
142,390118,6130,4
142,390118,6110,3
142,390118,6120,3
143,335216,5120,3
143,335216,5110,3
143,335216,5130,3
148,357114,2110,3
148,357114,2120,3
148,357114,2130,2
134,417165,7130,4
134,417165,7110,3
134,417165,7120,3
142,366128,6130,4
142,366128,6110,3
142,366128,6120,3
143,359230,5120,3
143,359230,5110,3
143,359230,5130,3
143,437091,5120,3
143,437091,5110,3
143,437091,5130,3
141,466050,8110,3
141,466050,8130,3
141,466050,8120,4
142,393029,6130,4
142,393029,6110,3
142,393029,6120,3
143,379228,5120,3
143,379228,5110,3
143,379228,5130,3
142,450073,6130,4
142,450073,6110,3
142,450073,6120,3
141,436020,8110,3
141,436020,8130,3
141,436020,8120,4
142,369031,6130,4
142,369031,6110,3
142,369031,6120,3
142,332101,6130,4
142,332101,6110,3
142,332101,6120,3
148,341145,2110,3
148,341145,2120,3
148,341145,2130,2
142,479103,6130,4
142,479103,6110,3
