row,col,lat,lon,cellID
360,157,51.81902308,8.099491966,360157
436,082,51.12289352,7.041646716,436082
369,081,51.724573,7.001274009,369081
392,152,51.53084226,8.033125857,392152
341,219,51.99325264,8.998747815,341219
377,206,51.66950891,8.81082523,377206
479,045,50.7266418,6.534067787,479045
449,074,51.00413303,6.932650561,449074
331,106,52.07159365,7.350499248,331106
303,128,52.32724531,7.663766067,303128
492,063,50.61496502,6.794306525,492063
402,211,51.44487678,8.883681039,402211
425,114,51.22850651,7.495376526,425114
374,063,51.67494534,6.743174883,374063
411,035,51.33423173,6.358055672,411035
344,126,51.95849865,7.645658788,344126
307,114,52.28880573,7.459709012,307114
380,171,51.64063966,8.305293627,380171
468,039,50.82360898,6.443783196,468039
454,022,50.94378727,6.195228978,454022
387,091,51.56522883,7.152521059,387091
373,110,51.69502011,7.422091322,373110
356,231,51.85829794,9.172951896,356231
348,211,51.93027479,8.882430339,348211
467,086,50.84530035,7.110102204,467086
430,078,51.1758277,6.982191531,430078
400,109,51.45221407,7.416089218,400109
309,204,52.28066756,8.77892502,309204
386,048,51.56281283,6.532355167,386048
335,087,52.03145783,7.075063004,335087
358,220,51.84044707,9.013263006,358220
480,074,50.72561928,6.944936578,480074
443,062,51.05488168,6.759196674,443062
362,034,51.77389371,6.317950389,362034
415,060,51.30584299,6.718302272,415060
336,212,52.03814923,8.896722437,336212
348,113,51.92023089,7.4578199,348113
456,050,50.93471028,6.594223558,456050
405,103,51.40608912,7.331437623,405103
361,123,51.80522825,7.606755726,361123
384,174,51.60493449,8.349146614,384174
333,197,52.06471934,8.677907952,333197
432,154,51.17154861,8.069260083,432154
369,015,51.70445655,6.047103617,369015
367,026,51.72630304,6.204943919,367026
390,039,51.52409342,6.404729781,390039
346,227,51.94825419,9.115114804,346227
447,035,51.01094582,6.376477839,447035
318,192,52.19931716,8.603797823,318192
366,081,51.75152294,7.000084195,366081
403,201,51.43565666,8.739880971,403201
336,100,52.02541577,7.264765455,336100
308,202,52.28959693,8.749566008,308202
460,061,50.90189617,6.752332155,460061
379,183,51.6505258,8.47854748,379183
342,218,51.98426318,8.984190689,342218
365,120,51.76876135,7.564412009,365120
388,177,51.56921251,8.392930737,388177
473,047,50.78113019,6.559567808,473047
422,080,51.24819076,7.00767644,422080
318,129,52.19262616,7.682433036,318129
341,096,51.97962324,7.20830572,341096
327,077,52.10084695,6.92610139,327077
398,136,51.47479243,7.803988041,398136
368,017,51.71415696,6.075421201,368017
351,221,51.90336465,9.027812739,351221
354,092,51.86193341,7.154907951,354092
340,159,51.99899132,8.125010286,340159
369,179,51.74013894,8.41960077,369179
296,221,52.39771349,9.028122492,296221
448,008,50.99270116,5.992796235,448008
411,188,51.36318043,8.553615907,411188
383,168,51.61341063,8.26239331,383168
420,166,51.28065335,8.239067215,420166
293,176,52.42298361,8.366570191,293176
365,145,51.77262618,7.926539446,365145
353,141,51.87992556,7.865888435,353141
316,119,52.20887304,7.535634968,316119
