soil_type,iniSOC
heavy,1.212
heavy,1.14
heavy,1.11
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.212
heavy,0.96
heavy,1.308
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.212
heavy,1.38
heavy,1.152
heavy,1.38
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.152
heavy,1.212
heavy,1.38
heavy,0.72
heavy,1.212
heavy,1.38
heavy,1.308
heavy,1.212
heavy,0.96
heavy,1.38
heavy,1.62
heavy,0.96
heavy,1.38
heavy,1.56
heavy,1.38
heavy,1.38
heavy,1.212
heavy,1.14
heavy,1.308
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.212
heavy,1.212
heavy,1.212
heavy,1.212
heavy,1.47
heavy,1.38
heavy,1.212
heavy,0.72
heavy,1.38
heavy,1.308
heavy,1.236
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.308
heavy,1.152
heavy,1.212
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.308
heavy,1.212
heavy,0.96
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.212
heavy,1.38
heavy,1.38
heavy,0.72
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.212
heavy,1.38
heavy,1.212
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.11
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.02
heavy,1.212
heavy,1.212
heavy,1.26
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.152
heavy,1.11
heavy,1.38
heavy,1.56
heavy,1.212
heavy,1.38
heavy,1.152
heavy,1.212
heavy,1.38
heavy,1.152
heavy,1.11
heavy,1.38
heavy,1.38
heavy,1.212
heavy,1.38
heavy,1.152
heavy,1.152
heavy,1.308
heavy,1.212
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.308
heavy,1.11
heavy,1.212
heavy,1.212
heavy,1.11
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.212
heavy,1.236
heavy,1.47
heavy,1.38
heavy,1.38
heavy,1.212
heavy,1.308
heavy,0.96
heavy,1.212
heavy,1.308
heavy,1.38
heavy,1.38
heavy,1.11
heavy,1.38
heavy,1.38
heavy,1.38
heavy,1.56
heavy,1.212
heavy,1.212
heavy,1.38
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.308
heavy,1.212
heavy,1.212
heavy,1.212
heavy,1.152
heavy,1.62
heavy,1.212
heavy,1.38
heavy,1.38
heavy,1.212
heavy,1.212
light,1.572
light,1.38
light,1.38
light,1.428
light,1.308
light,0.96
light,1.044
light,1.428
light,1.38
light,1.56
light,4.62
light,1.212
light,1.44
light,1.3259999999999998
light,1.44
light,1.572
light,1.44
light,1.44
light,1.56
light,1.38
light,1.38
light,1.428
light,1.02
light,1.38
light,1.02
light,1.212
light,1.44
light,1.212
light,1.428
light,1.38
light,1.296
light,1.44
light,1.14
light,1.02
light,1.44
light,1.56
light,1.02
light,1.212
light,1.14
light,1.212
light,1.428
light,1.56
light,1.428
light,1.38
light,1.02
light,1.02
light,1.44
light,1.14
light,1.47
light,1.44
light,1.38
light,1.212
light,1.428
light,1.44
light,1.02
light,1.044
light,1.44
light,1.212
light,1.044
light,1.428
light,1.44
light,1.572
light,1.38
light,1.02
light,1.044
light,1.14
light,4.62
light,1.44
light,1.02
light,1.044
light,1.02
light,1.38
light,1.428
light,1.428
light,1.44
light,1.212
light,1.02
light,1.14
light,1.428
light,1.308
light,1.44
light,1.44
light,1.38
light,1.56
light,4.62
light,1.428
light,1.44
light,1.428
light,1.212
light,1.44
light,1.296
light,1.44
light,1.428
light,1.14
light,1.572
light,1.212
light,1.56
light,1.38
light,1.56
light,1.56
light,1.044
light,1.56
light,1.44
light,1.44
light,1.44
light,4.62
light,1.572
light,1.38
light,4.62
light,1.26
light,1.38
light,1.02
light,1.428
light,1.56
light,0.864
light,1.044
light,1.02
light,1.14
light,4.62
light,1.08
light,1.56
light,1.56
light,1.428
light,1.56
light,2.346
light,1.56
light,1.44
light,1.572
light,1.44
light,1.02
light,1.212
light,1.56
light,1.14
light,1.38
light,1.428
light,1.428
light,1.44
light,1.44
light,1.38
light,1.44
light,1.44
light,1.428
light,1.14
light,1.02
light,2.346
light,1.044
light,1.56
light,1.428
light,1.38
light,1.14
light,1.56
light,1.308
light,1.14
light,1.02
light,1.26
light,1.308
light,1.572
light,1.02
light,1.212
light,1.56
light,1.308
light,4.62
light,1.44
light,1.44
light,1.02
light,1.14
light,1.56
light,1.02
light,1.3259999999999998
light,1.44
light,1.212
light,1.572
light,1.56
light,1.56
light,1.56
light,1.56
light,1.44
light,1.428
light,1.14
light,1.14
light,1.44
light,4.62
light,1.56
light,1.38
light,1.56
light,1.02
light,1.14
light,1.428
light,1.56
light,1.188
