ID,Purpose,Timeframe,Fert strategy,Residues management,Cover crops,Production level,rcp,climate model,yield,"humbal correction (heavy, medium, light soils)"
0,Landscape2018,historical,BASE,base,1_outof_4,Pot,-,-,Base,
1,Landscape2018,2030,BASE,base,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,Base,
2,Landscape2018,2050,BASE,base,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,Base,
3,Landscape2018,2030,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_1,Pot,2.6,IPSL-CM5A-LR ,Base,
4,Landscape2018,2050,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_1,Pot,2.6,IPSL-CM5A-LR ,Base,
5,Landscape2018,2030,NDEM,base,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,Base,
6,Landscape2018,2050,NDEM,base,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,Base,
7,Landscape2018,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,Base,
8,Landscape2018,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,Base,
9,Landscape2018,2030,BASE,base,1_outof_1,Pot,2.6,IPSL-CM5A-LR ,Base,
10,Landscape2018,2050,BASE,base,1_outof_1,Pot,2.6,IPSL-CM5A-LR ,Base,
11,Landscape2018,historical,BASE,base,1_outof_4,WL.NL.rain,-,-,Base,
12,Landscape2018,2030,BASE,base,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
13,Landscape2018,2050,BASE,base,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
14,Landscape2018,2030,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
15,Landscape2018,2050,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
16,Landscape2018,2030,NDEM,base,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
17,Landscape2018,2050,NDEM,base,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
18,Landscape2018,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
19,Landscape2018,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
20,Landscape2018,2030,BASE,base,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
21,Landscape2018,2050,BASE,base,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
22,compare humbal and baseline,2030,NDEM,base,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
23,compare humbal and baseline,2030,NDEM,zero,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
24,-,historical,BASE,base,1_outof_4,Pot,-,-,Base,
25,"Base, Sc1, Sc2",2030,BASE,theoretical,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,Base,
26,sensitivity,2030,BASE,theoretical,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
27,Sc3,2030,BASE,theoretical,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,SI,
28,Base,2030,BASE,base,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
29,Sc1 ,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,0-0-0
30,Sc2 ,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,200-300-400
31,sensitivity,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,0-100-200
32,sensitivity,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,100-200-300
