ID,Purpose,Timeframe,Fert strategy,Residues management,Cover crops,Production level,rcp,climate model,yield,"humbal correction (heavy, medium, light soils)"
33,sensitivity,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,300-400-500
34,Sc3,2030,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,SI,200-300-400
35,sensitivity,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,SI,200-300-400
36,sensitivity,2030,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,200-300-400
37,sensitivity,2030,BASE,RESIDUES_HUMUS_BALANCE,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,200-300-400
38,"Base, Sc1, Sc2",2050,BASE,theoretical,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,Base,
39,sensitivity,2050,BASE,theoretical,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
40,Sc3,2050,BASE,theoretical,1_outof_4,Pot,2.6,IPSL-CM5A-LR ,SI,
41,Base,2050,BASE,base,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,
42,Sc1 ,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,0-0-0
43,Sc2 ,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,200-300-400
44,sensitivity,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,0-100-200
45,sensitivity,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,100-200-300
46,sensitivity,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,300-400-500
47,Sc3,2050,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,SI,200-300-400
48,sensitivity,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,SI,200-300-400
49,sensitivity,2050,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_4,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,200-300-400
50,sensitivity,2050,BASE,RESIDUES_HUMUS_BALANCE,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,200-300-400
51,Sc3,2030,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,300-400-500
52,Sc3,2050,NDEM,RESIDUES_HUMUS_BALANCE,1_outof_1,WL.NL.rain,2.6,IPSL-CM5A-LR ,Base,300-400-500
