Legend,Crop,Target,fixed fertilization at sowing,F1,F2,F3,stage1,stage2,stage3
SM,Silage maize,190,20,1,,,31-May,,
GM,Grain maize,190,20,1,,,31-May,,
SB,Spring barley,150,,0.67,0.33,,0,3,
WTr,Winter-Triticale,190,,0.37,0.32,0.31,15-Mar,3,4
WRa,Winter rape,180,,0.55,0.45,,1-Mar,3,
SBee,Sugarbeet,180,,0.67,0.33,,0,2,
WW,Winter wheat,200,,0.35,0.33,0.32,15-Mar,3,4
WB,Winter barley,180,,0.39,0.31,0.3,15-Mar,3,4
PO,Potato,160,,1,,,0,,
