sim_id,bkr,cell,rot,expected perms,actual perms
id4,129,488047,9120,3,3
id4,129,488047,9110,3,3
id4,129,488047,9130,3,3
id4,129,487040,9120,3,3
id4,129,487040,9110,3,3
id4,134,402211,7130,4,3
id4,134,404141,7110,3,3
id4,134,404141,7120,3,3
id4,134,408119,7130,4,3
id4,134,408119,7110,3,3
id4,134,408119,7120,3,3
id4,134,425114,7130,4,3
id4,134,425114,7110,3,3
id4,134,450183,7110,3,3
id4,134,429138,7130,4,3
id4,134,429138,7120,3,3
id4,141,492063,8110,3,3
id4,141,492063,8130,3,3
id4,141,492063,8120,4,3
id4,141,443062,8110,3,3
id4,141,468039,8130,3,3
id4,141,454022,8130,3,3
id4,141,479045,8130,3,3
id4,141,479045,8120,4,3
id4,141,447035,8130,3,3
id4,141,488052,8110,3,3
id4,141,488052,8120,4,3
id4,141,480074,8110,3,3
id4,141,456050,8120,4,3
id4,141,466047,8110,3,3
id4,141,466047,8130,3,3
id4,141,458057,8130,3,3
id4,141,475048,8110,3,3
id4,141,475048,8130,3,3
id4,141,475048,8120,4,3
id4,142,394054,6130,4,3
id4,142,394054,6110,3,3
id4,142,331106,6130,4,3
id4,142,331106,6110,3,3
id4,142,436082,6130,4,3
id4,142,436082,6110,3,3
id4,142,436082,6120,3,3
id4,142,338087,6120,3,3
id4,142,373110,6130,4,3
id4,142,373110,6110,3,3
id4,142,406043,6120,3,3
id4,142,411035,6130,4,3
id4,142,411035,6120,3,3
id4,142,380171,6130,4,3
id4,142,380171,6120,3,3
id4,142,449074,6130,4,3
id4,142,449074,6110,3,3
id4,142,387091,6130,4,3
id4,142,387091,6120,3,3
id4,142,360157,6110,3,3
id4,142,360157,6120,3,3
id4,143,336212,5130,3,3
id4,143,377206,5110,3,3
id4,143,377206,5130,3,3
id4,143,370210,5120,3,3
id4,143,370210,5110,3,3
id4,143,387238,5130,3,3
id4,143,347235,5120,3,3
id4,143,347235,5110,3,3
id4,143,380202,5110,3,3
id4,143,356231,5120,3,3
id4,143,407096,5120,3,3
id4,143,407096,5110,3,3
id4,143,358220,5120,3,3
id4,143,391227,5120,3,3
id4,143,391227,5130,3,3
id4,143,433088,5120,3,3
id4,143,433088,5130,3,3
id4,143,392152,5120,3,3
id4,143,392152,5110,3,3
id4,143,392152,5130,3,3
id4,143,474107,5120,3,3
id4,143,474107,5110,3,3
id4,146,301205,1120,4,3
id4,146,301205,1110,3,3
id4,146,301205,1130,2,3
id4,146,296184,1120,4,3
id4,146,296184,1110,3,3
id4,146,296184,1130,2,3
id4,147,323191,3110,3,3
id4,148,344126,2110,3,3
id4,148,344126,2120,3,3
id4,148,328080,2110,3,3
id4,148,328080,2130,2,3
id4,148,369081,2110,3,3
id4,148,369081,2120,3,3
id4,148,337166,2110,3,3
id4,148,337166,2120,3,3
id4,148,337166,2130,2,3
id4,148,321084,2130,2,3
id4,148,324134,2110,3,3
id4,148,324134,2120,3,3
id4,148,356075,2110,3,0
id4,148,356075,2130,2,2
id4,148,307114,2110,3,3
id4,148,381068,2110,3,3
id4,148,381068,2120,3,3
id4,148,381068,2130,2,3
id4,148,315092,2120,3,3
id4,148,315092,2130,2,3
id4,148,349177,2130,2,3
id4,148,374063,2110,3,3
id4,148,374063,2130,2,3
id4,148,325073,2110,3,3
id4,148,325073,2120,3,3
id4,148,357060,2120,3,2
id4,148,357060,2130,2,0
id4,148,367185,2110,3,2
id4,148,367185,2120,3,2
id4,148,367185,2130,2,0
id4,148,352104,2130,2,3
id4,191,334175,4110,4,2
id4,191,332168,4120,4,2
id4,191,332168,4110,4,2
id4,191,310134,4110,4,2
