sim_id,bkr,cell,rot,expected perms,actual perms
id20,129,488047,9120,3,6
id20,129,488047,9110,3,5
id20,129,488047,9130,3,6
id20,134,404141,7130,4,5
id20,134,450183,7130,4,7
id20,141,488052,8110,3,4
id20,141,488052,8120,4,6
id20,142,394054,6110,3,4
id20,143,347235,5120,3,4
id20,143,347235,5110,3,5
id20,143,347235,5130,3,5
id20,143,474107,5120,3,4
id20,143,474107,5110,3,4
id20,146,301205,1120,4,5
id20,146,301205,1110,3,4
id20,146,301205,1130,2,4
id20,147,323191,3120,4,6
id20,147,323191,3130,2,3
id20,147,323191,3110,3,5
id20,148,356075,2110,3,5
id20,148,357060,2120,3,4
id20,148,357060,2130,2,4
id20,148,324134,2120,3,4
id20,148,324134,2130,2,3
id20,191,334175,4120,4,5
id20,191,332168,4120,4,7
id20,191,332168,4110,4,6
