sim_id,bkr,cell,rot,expected perms,actual perms
id18,129,514054,9120,3,3
id18,129,506047,9120,3,3
id18,129,506047,9110,3,3
id18,129,504047,9130,3,3
id18,129,504048,9120,3,3
id18,129,502053,9120,3,3
id18,129,500038,9110,3,3
id18,129,500057,9120,3,3
id18,129,500071,9120,3,3
id18,129,498040,9130,3,3
id18,129,498041,9130,3,3
id18,129,498044,9120,3,3
id18,129,498044,9110,3,3
id18,129,498045,9120,3,3
id18,129,498057,9120,3,3
id18,129,496049,9120,3,3
id18,129,496061,9130,3,3
id18,129,494051,9120,3,3
id18,129,494051,9110,3,3
id18,129,492052,9120,3,3
id18,129,492055,9110,3,3
id18,129,490056,9120,3,3
id18,129,488047,9120,3,3
id18,129,488047,9110,3,3
id18,129,488047,9130,3,3
id18,129,488049,9130,3,3
id18,129,484034,9130,3,3
id18,129,484045,9120,3,3
id18,129,482039,9130,3,3
id18,129,482043,9120,3,3
id18,129,480035,9130,3,3
id18,129,519054,9120,3,3
id18,129,515053,9130,3,3
id18,129,511054,9120,3,3
id18,129,511054,9110,3,3
id18,129,511058,9120,3,3
id18,129,509054,9120,3,3
id18,129,505061,9130,3,3
id18,129,503047,9110,3,3
id18,129,503059,9130,3,3
id18,129,501039,9120,3,3
id18,129,501051,9120,3,3
id18,129,501051,9110,3,3
id18,129,499038,9120,3,3
id18,129,499051,9120,3,3
id18,129,499051,9110,3,3
id18,129,495057,9120,3,3
id18,129,495058,9130,3,3
id18,129,493056,9110,3,3
id18,129,493057,9130,3,3
id18,129,493060,9130,3,3
id18,129,493061,9120,3,3
id18,129,493064,9110,3,3
id18,129,491052,9120,3,3
id18,129,491053,9120,3,3
id18,129,489048,9130,3,3
id18,129,489051,9110,3,3
id18,129,489055,9120,3,3
id18,129,518059,9110,3,3
id18,134,475156,7110,3,3
id18,134,475156,7120,3,3
id18,134,426106,7130,4,3
id18,134,426115,7120,3,3
id18,134,426132,7120,3,3
id18,134,426139,7110,3,3
id18,134,385187,7130,4,3
id18,134,385198,7110,3,3
id18,134,426161,7110,3,3
id18,134,426165,7120,3,3
id18,134,426168,7110,3,3
id18,134,467162,7130,4,3
id18,134,418120,7130,4,3
id18,134,418139,7130,4,3
id18,134,459123,7120,3,3
id18,134,418167,7120,3,3
id18,134,459129,7130,4,3
id18,134,418177,7130,4,3
id18,134,418182,7130,4,3
id18,134,418182,7110,3,3
id18,134,459168,7120,3,3
id18,134,404209,7130,4,3
id18,134,430152,7110,3,3
id18,134,410161,7130,4,3
id18,134,410165,7130,4,3
id18,134,410166,7120,3,3
id18,134,451136,7130,4,3
id18,134,451151,7120,3,3
id18,134,451174,7130,4,3
id18,134,402126,7130,4,3
id18,134,402130,7130,4,3
id18,134,402195,7110,3,3
id18,134,402211,7130,4,3
id18,134,402211,7120,3,3
id18,134,443174,7110,3,3
id18,134,443174,7120,3,3
id18,134,394174,7130,4,3
id18,134,394182,7110,3,3
id18,134,394182,7120,3,3
id18,134,394185,7130,4,3
id18,134,435148,7120,3,3
id18,134,435166,7120,3,3
id18,134,435194,7110,3,3
id18,134,411140,7130,4,3
id18,134,427107,7130,4,3
id18,134,427126,7120,3,3
id18,134,427130,7130,4,3
id18,134,427138,7130,4,3
id18,134,427138,7110,3,3
id18,134,386180,7110,3,3
id18,134,386185,7130,4,3
id18,134,386188,7120,3,3
id18,134,427154,7130,4,3
id18,134,427169,7120,3,3
id18,134,427173,7120,3,3
id18,134,427197,7130,4,3
id18,134,419138,7130,4,3
id18,134,460123,7120,3,3
id18,134,419171,7120,3,3
id18,134,419177,7130,4,3
id18,134,419182,7120,3,3
id18,134,460164,7120,3,3
id18,134,460178,7130,4,3
id18,134,411107,7120,3,3
id18,134,429138,7130,4,3
id18,134,429138,7110,3,3
id18,134,429138,7120,3,3
id18,134,411156,7110,3,3
id18,134,411157,7130,4,3
id18,134,452134,7120,3,3
id18,134,411187,7110,3,3
id18,134,452171,7120,3,3
id18,134,403127,7130,4,3
id18,134,403142,7110,3,3
id18,134,403142,7120,3,3
id18,134,403146,7120,3,3
id18,134,403147,7110,3,3
id18,134,403147,7120,3,3
id18,134,403155,7120,3,3
id18,134,444132,7130,4,3
id18,134,444136,7120,3,3
id18,134,403209,7130,4,3
id18,134,444178,7110,3,3
id18,134,436120,7120,3,3
id18,134,436132,7110,3,3
id18,134,395177,7130,4,3
id18,134,436189,7130,4,3
id18,134,436189,7110,3,3
id18,134,428102,7130,4,3
id18,134,428134,7110,3,3
id18,134,387178,7110,3,3
id18,134,428150,7110,3,3
id18,134,433195,7110,3,3
id18,134,420112,7130,4,3
id18,134,420113,7120,3,3
id18,134,420139,7120,3,3
id18,134,420148,7130,4,3
id18,134,420166,7130,4,3
id18,134,420167,7130,4,3
id18,134,461146,7110,3,3
id18,134,461158,7130,4,3
id18,134,444147,7120,3,3
id18,134,412114,7130,4,3
id18,134,412114,7110,3,3
id18,134,412129,7120,3,3
id18,134,412133,7110,3,3
id18,134,412133,7120,3,3
id18,134,412141,7130,4,3
id18,134,412152,7130,4,3
id18,134,412162,7130,4,3
id18,134,412170,7130,4,3
id18,134,453142,7130,4,3
id18,134,388185,7110,3,3
id18,134,388185,7120,3,3
id18,134,453161,7110,3,3
id18,134,453161,7120,3,3
id18,134,453173,7130,4,3
id18,134,429156,7130,4,3
id18,134,404114,7130,4,3
id18,134,404125,7110,3,3
id18,134,404125,7120,3,3
id18,134,404126,7120,3,3
id18,134,404134,7130,4,3
id18,134,404141,7130,4,3
id18,134,404141,7110,3,3
id18,134,404141,7120,3,3
id18,134,445131,7110,3,3
id18,134,404184,7110,3,3
id18,134,404192,7110,3,3
id18,134,445173,7130,4,3
id18,134,445175,7130,4,3
id18,134,445176,7120,3,3
id18,134,437131,7130,4,3
id18,134,399170,7120,3,3
id18,134,399173,7110,3,3
id18,134,437187,7120,3,3
id18,134,388177,7110,3,3
id18,134,388178,7110,3,3
id18,134,429145,7130,4,3
id18,134,388186,7110,3,3
id18,134,429161,7110,3,3
id18,134,429161,7120,3,3
id18,134,388202,7130,4,3
id18,134,429165,7120,3,3
id18,134,429172,7130,4,3
id18,134,384195,7110,3,3
id18,134,384196,7110,3,3
id18,134,466122,7110,3,3
id18,134,384187,7120,3,3
id18,134,421127,7110,3,3
id18,134,421129,7130,4,3
id18,134,421156,7110,3,3
id18,134,421162,7120,3,3
id18,134,421198,7130,4,3
id18,134,413121,7120,3,3
id18,134,413139,7130,4,3
id18,134,413139,7110,3,3
id18,134,395174,7120,3,3
id18,134,413162,7130,4,3
id18,134,436136,7110,3,3
id18,134,436136,7120,3,3
id18,134,413174,7130,4,3
id18,134,413179,7110,3,3
id18,134,413186,7130,4,3
id18,134,454178,7110,3,3
id18,134,405132,7130,4,3
id18,134,446104,7120,3,3
id18,134,405148,7120,3,3
id18,134,446139,7110,3,3
id18,134,405198,7110,3,3
id18,134,446175,7110,3,3
id18,134,446176,7110,3,3
id18,134,446176,7120,3,3
id18,134,438123,7130,4,3
id18,134,397175,7120,3,3
id18,134,438145,7110,3,3
id18,134,447142,7120,3,3
id18,134,430110,7120,3,3
id18,134,430132,7120,3,3
id18,134,389180,7130,4,3
id18,134,389196,7130,4,3
id18,134,389196,7110,3,3
id18,134,430168,7130,4,3
id18,134,430195,7110,3,3
id18,134,432169,7130,4,3
id18,134,422147,7120,3,3
id18,134,381193,7110,3,3
id18,134,463121,7130,4,3
id18,134,463125,7130,4,3
id18,134,422171,7130,4,3
id18,134,422171,7110,3,3
id18,134,414122,7110,3,3
id18,134,414126,7130,4,3
id18,134,414127,7130,4,3
id18,134,414131,7130,4,3
id18,134,414138,7120,3,3
id18,134,414142,7110,3,3
id18,134,414151,7130,4,3
id18,134,414151,7110,3,3
id18,134,455143,7130,4,3
id18,134,406144,7130,4,3
id18,134,447105,7130,4,3
id18,134,406156,7120,3,3
id18,134,406182,7110,3,3
id18,134,447149,7110,3,3
id18,134,387190,7110,3,3
id18,134,447178,7130,4,3
id18,134,447182,7110,3,3
id18,134,398129,7120,3,3
id18,134,398137,7110,3,3
id18,134,398141,7120,3,3
id18,134,398144,7120,3,3
id18,134,398145,7120,3,3
id18,134,439129,7130,4,3
id18,134,398173,7120,3,3
id18,134,398177,7130,4,3
id18,134,398178,7110,3,3
id18,134,398199,7120,3,3
id18,134,398211,7120,3,3
id18,134,454139,7130,4,3
id18,134,454139,7110,3,3
id18,134,431102,7110,3,3
id18,134,413187,7130,4,3
id18,134,390175,7110,3,3
id18,134,390184,7130,4,3
id18,134,431164,7120,3,3
id18,134,390209,7130,4,3
id18,134,431194,7130,4,3
id18,134,439157,7120,3,3
id18,134,423105,7130,4,3
id18,134,423120,7120,3,3
id18,134,423146,7130,4,3
id18,134,423167,7130,4,3
id18,134,395169,7120,3,3
id18,134,383200,7120,3,3
id18,134,415170,7120,3,3
id18,134,409181,7110,3,3
id18,134,407116,7120,3,3
id18,134,407135,7110,3,3
id18,134,407139,7130,4,3
id18,134,407151,7130,4,3
id18,134,448132,7120,3,3
id18,134,448135,7110,3,3
id18,134,448135,7120,3,3
id18,134,448177,7110,3,3
id18,134,389184,7110,3,3
id18,134,399169,7130,4,3
id18,134,399192,7130,4,3
id18,134,386189,7110,3,3
id18,134,391179,7120,3,3
id18,134,391192,7120,3,3
id18,134,391203,7130,4,3
id18,134,424103,7110,3,3
id18,134,424115,7130,4,3
id18,134,424135,7110,3,3
id18,134,383190,7120,3,3
id18,134,383196,7130,4,3
id18,134,383199,7130,4,3
id18,134,424160,7130,4,3
id18,134,424168,7130,4,3
id18,134,424197,7130,4,3
id18,134,424197,7110,3,3
