sim_id,bkr,cell,rot,expected perms,actual perms
id0,129,488047,9120,3,2
id0,129,488047,9110,3,0
id0,129,488047,9130,3,2
id0,129,487040,9120,3,3
id0,129,487040,9110,3,3
id0,134,402211,7110,3,3
id0,134,404141,7130,4,3
id0,134,404141,7110,3,3
id0,134,408119,7130,4,3
id0,134,408119,7110,3,3
id0,134,408119,7120,3,3
id0,134,425114,7130,4,3
id0,134,425114,7120,3,3
id0,134,450183,7130,4,3
id0,134,450183,7120,3,3
id0,141,492063,8110,3,3
id0,141,492063,8130,3,3
id0,141,443062,8120,4,3
id0,141,454022,8130,3,3
id0,141,454022,8120,4,3
id0,141,479045,8130,3,3
id0,141,479045,8120,4,3
id0,141,488052,8110,3,3
id0,141,488052,8130,3,3
id0,141,488052,8120,4,3
id0,141,466047,8110,3,2
id0,141,466047,8130,3,0
id0,141,475048,8130,3,3
id0,141,475048,8120,4,3
id0,142,394054,6130,4,3
id0,142,394054,6110,3,3
id0,142,394054,6120,3,3
id0,142,331106,6120,3,3
id0,142,436082,6130,4,3
id0,142,436082,6120,3,3
id0,142,373110,6130,4,3
id0,142,411035,6130,4,3
id0,142,411035,6120,3,3
id0,142,449074,6130,4,3
id0,142,449074,6110,3,3
id0,142,360157,6130,4,3
id0,142,360157,6110,3,3
id0,142,360157,6120,3,3
id0,143,377206,5130,3,3
id0,143,370210,5110,3,3
id0,143,370210,5130,3,3
id0,143,474107,5120,3,2
id0,143,474107,5110,3,0
id0,143,474107,5130,3,2
id0,143,420076,5130,3,3
id0,143,347235,5110,3,3
id0,143,347235,5130,3,3
id0,143,380202,5130,3,3
id0,143,341219,5110,3,3
id0,143,407096,5120,3,3
id0,143,407096,5110,3,3
id0,143,391227,5110,3,3
id0,143,391227,5130,3,3
id0,146,301205,1120,4,3
id0,146,301205,1130,2,3
id0,146,296184,1110,3,3
id0,147,323191,3120,4,3
id0,147,323191,3110,3,3
id0,148,344126,2110,3,3
id0,148,344126,2120,3,3
id0,148,369081,2110,3,3
id0,148,369081,2120,3,3
id0,148,369081,2130,2,3
id0,148,307114,2110,3,3
id0,148,374063,2110,3,3
id0,148,374063,2130,2,3
id0,148,325073,2110,3,3
id0,148,356075,2120,3,2
id0,148,356075,2130,2,0
id0,148,367185,2120,3,3
id0,191,334175,4120,4,2
id0,191,310134,4120,4,2
id0,191,310134,4110,4,2
id0,191,332168,4120,4,2
id0,191,332168,4110,4,2
