sim_id,bkr,cell,rot,expected perms,actual perms
id17,129,510059,9110,3,3
id17,129,506068,9130,3,3
id17,129,504058,9120,3,3
id17,129,504062,9130,3,3
id17,129,500037,9120,3,3
id17,129,500040,9110,3,3
id17,129,500048,9120,3,3
id17,129,500055,9130,3,3
id17,129,498043,9120,3,3
id17,129,498048,9110,3,3
id17,129,498052,9120,3,3
id17,129,496050,9120,3,3
id17,129,496054,9110,3,3
id17,129,490050,9110,3,3
id17,129,490055,9120,3,3
id17,129,488047,9120,3,3
id17,129,488047,9110,3,3
id17,129,488047,9130,3,3
id17,129,488048,9110,3,3
id17,129,488048,9130,3,3
id17,129,488055,9120,3,3
id17,129,486044,9130,3,3
id17,129,482036,9130,3,3
id17,129,482046,9130,3,3
id17,129,480036,9130,3,3
id17,129,476038,9120,3,3
id17,129,517055,9120,3,3
id17,129,517059,9110,3,3
id17,129,515058,9110,3,3
id17,129,513050,9120,3,3
id17,129,509041,9130,3,3
id17,129,509043,9130,3,3
id17,129,505054,9120,3,3
id17,129,505056,9130,3,3
id17,129,501048,9120,3,3
id17,129,501052,9130,3,3
id17,129,499043,9120,3,3
id17,129,493054,9120,3,3
id17,129,493054,9110,3,3
id17,129,489047,9120,3,3
id17,129,487037,9130,3,3
id17,129,487040,9110,3,3
id17,129,487040,9130,3,3
id17,129,487044,9120,3,3
id17,129,483039,9110,3,3
id17,129,483044,9120,3,3
id17,129,516057,9120,3,3
id17,134,419165,7120,3,3
id17,134,467126,7130,4,3
id17,134,426179,7130,4,3
id17,134,418121,7120,3,3
id17,134,418126,7130,4,3
id17,134,418165,7130,4,3
id17,134,459161,7110,3,3
id17,134,389193,7130,4,3
id17,134,430155,7130,4,3
id17,134,389201,7130,4,3
id17,134,410122,7130,4,3
id17,134,451103,7110,3,3
id17,134,451107,7130,4,3
id17,134,451140,7130,4,3
id17,134,451142,7110,3,3
id17,134,410187,7130,4,3
id17,134,415174,7120,3,3
id17,134,402143,7130,4,3
id17,134,402149,7110,3,3
id17,134,402153,7130,4,3
id17,134,402153,7110,3,3
id17,134,443134,7110,3,3
id17,134,443137,7130,4,3
id17,134,402194,7130,4,3
id17,134,400175,7110,3,3
id17,134,402209,7130,4,3
id17,134,402211,7130,4,3
id17,134,402211,7120,3,3
id17,134,402213,7110,3,3
id17,134,400192,7130,4,3
id17,134,426138,7110,3,3
id17,134,394168,7130,4,3
id17,134,394177,7130,4,3
id17,134,435149,7120,3,3
id17,134,435165,7110,3,3
id17,134,435173,7110,3,3
id17,134,435195,7120,3,3
id17,134,427108,7130,4,3
id17,134,386187,7110,3,3
id17,134,427152,7130,4,3
id17,134,427170,7110,3,3
id17,134,427174,7120,3,3
id17,134,427198,7110,3,3
id17,134,419126,7110,3,3
id17,134,419168,7120,3,3
id17,134,411133,7110,3,3
id17,134,411133,7120,3,3
id17,134,429138,7130,4,3
id17,134,429138,7110,3,3
id17,134,429138,7120,3,3
id17,134,411141,7110,3,3
id17,134,411160,7130,4,3
id17,134,411164,7130,4,3
id17,134,411168,7130,4,3
id17,134,452137,7120,3,3
id17,134,452141,7110,3,3
id17,134,452153,7130,4,3
id17,134,403129,7110,3,3
id17,134,403185,7130,4,3
id17,134,403208,7130,4,3
id17,134,448134,7110,3,3
id17,134,429150,7130,4,3
id17,134,395165,7110,3,3
id17,134,436147,7130,4,3
id17,134,392185,7130,4,3
id17,134,387179,7110,3,3
id17,134,387179,7120,3,3
id17,134,387187,7130,4,3
id17,134,428156,7110,3,3
id17,134,387197,7110,3,3
id17,134,387199,7130,4,3
id17,134,428166,7120,3,3
id17,134,428170,7120,3,3
id17,134,469156,7110,3,3
id17,134,428197,7120,3,3
id17,134,420110,7130,4,3
id17,134,420141,7110,3,3
id17,134,420178,7130,4,3
id17,134,420180,7120,3,3
id17,134,420182,7120,3,3
id17,134,403193,7120,3,3
id17,134,429137,7110,3,3
id17,134,412155,7130,4,3
id17,134,412165,7120,3,3
id17,134,412179,7130,4,3
id17,134,453155,7130,4,3
id17,134,404131,7130,4,3
id17,134,404141,7130,4,3
id17,134,404141,7110,3,3
id17,134,404141,7120,3,3
id17,134,445130,7110,3,3
id17,134,445132,7120,3,3
id17,134,445139,7110,3,3
id17,134,404191,7110,3,3
id17,134,404193,7110,3,3
id17,134,445179,7110,3,3
id17,134,445184,7120,3,3
id17,134,414171,7120,3,3
id17,134,396177,7130,4,3
id17,134,437126,7110,3,3
id17,134,437128,7130,4,3
id17,134,396213,7120,3,3
id17,134,429116,7130,4,3
id17,134,429133,7130,4,3
id17,134,429166,7120,3,3
id17,134,429167,7130,4,3
id17,134,429173,7110,3,3
id17,134,429175,7120,3,3
id17,134,410142,7110,3,3
id17,134,421121,7110,3,3
id17,134,421157,7110,3,3
id17,134,421171,7130,4,3
id17,134,413114,7110,3,3
id17,134,413126,7120,3,3
id17,134,413158,7120,3,3
id17,134,395175,7110,3,3
id17,134,395175,7120,3,3
id17,134,413167,7110,3,3
id17,134,413167,7120,3,3
id17,134,413175,7120,3,3
id17,134,454152,7130,4,3
id17,134,405112,7120,3,3
id17,134,405124,7120,3,3
id17,134,405129,7110,3,3
id17,134,405141,7130,4,3
id17,134,405141,7110,3,3
id17,134,405187,7110,3,3
id17,134,405195,7130,4,3
id17,134,446172,7130,4,3
id17,134,446173,7130,4,3
id17,134,446173,7110,3,3
id17,134,438126,7110,3,3
id17,134,438136,7130,4,3
id17,134,397180,7130,4,3
id17,134,430116,7120,3,3
id17,134,389177,7130,4,3
id17,134,389187,7110,3,3
id17,134,430166,7110,3,3
id17,134,430178,7120,3,3
id17,134,430196,7130,4,3
id17,134,432151,7110,3,3
id17,134,432167,7110,3,3
id17,134,422127,7130,4,3
id17,134,381191,7120,3,3
id17,134,434142,7130,4,3
id17,134,422196,7120,3,3
id17,134,392179,7120,3,3
id17,134,414184,7120,3,3
id17,134,455158,7130,4,3
id17,134,443150,7130,4,3
id17,134,406118,7110,3,3
id17,134,447160,7120,3,3
id17,134,387203,7130,4,3
id17,134,398130,7120,3,3
id17,134,398132,7130,4,3
id17,134,398145,7110,3,3
id17,134,398179,7120,3,3
id17,134,398194,7120,3,3
id17,134,439161,7120,3,3
id17,134,431133,7110,3,3
id17,134,431182,7130,4,3
id17,134,431182,7110,3,3
id17,134,439158,7130,4,3
id17,134,439158,7110,3,3
id17,134,423110,7110,3,3
id17,134,423132,7110,3,3
id17,134,382191,7120,3,3
id17,134,382193,7130,4,3
id17,134,401169,7130,4,3
id17,134,423165,7130,4,3
id17,134,415141,7110,3,3
id17,134,415148,7130,4,3
id17,134,415165,7110,3,3
id17,134,415165,7120,3,3
id17,134,415166,7120,3,3
id17,134,409166,7120,3,3
id17,134,407108,7120,3,3
id17,134,407123,7110,3,3
id17,134,407134,7110,3,3
id17,134,435141,7110,3,3
id17,134,435142,7120,3,3
id17,134,448170,7110,3,3
id17,134,448172,7130,4,3
id17,134,448183,7110,3,3
id17,134,399124,7110,3,3
id17,134,399135,7130,4,3
id17,134,399135,7110,3,3
id17,134,399172,7120,3,3
id17,134,399176,7130,4,3
id17,134,399179,7120,3,3
id17,134,399199,7110,3,3
id17,134,432127,7110,3,3
id17,134,432127,7120,3,3
id17,134,432144,7120,3,3
id17,134,391196,7120,3,3
id17,134,391200,7110,3,3
id17,134,432172,7130,4,3
id17,134,432193,7110,3,3
id17,134,424114,7110,3,3
id17,134,424118,7130,4,3
id17,134,424120,7120,3,3
id17,134,424125,7120,3,3
id17,134,424158,7120,3,3
id17,134,424163,7120,3,3
id17,134,390187,7110,3,3
id17,134,431154,7130,4,3
id17,134,390207,7130,4,3
id17,134,416140,7130,4,3
id17,134,416152,7120,3,3
id17,134,416161,7130,4,3
id17,134,416163,7120,3,3
id17,134,416167,7120,3,3
id17,134,457125,7130,4,3
id17,134,408115,7130,4,3
id17,134,408119,7130,4,3
id17,134,408119,7110,3,3
id17,134,408119,7120,3,3
id17,134,408135,7120,3,3
id17,134,449134,7110,3,3
id17,134,449135,7120,3,3
id17,134,442132,7110,3,3
id17,134,427127,7120,3,3
id17,134,401193,7130,4,3
id17,134,400123,7120,3,3
id17,134,400137,7110,3,3
id17,134,400138,7130,4,3
id17,134,400174,7130,4,3
id17,134,400184,7110,3,3
id17,134,400198,7130,4,3
id17,134,400205,7130,4,3
id17,134,400207,7110,3,3
id17,134,442171,7130,4,3
id17,134,401213,7130,4,3
id17,134,392177,7110,3,3
id17,134,433147,7110,3,3
id17,134,392201,7120,3,3
id17,134,433146,7130,4,3
id17,134,453139,7130,4,3
id17,134,427147,7110,3,3
id17,134,453143,7110,3,3
id17,134,425103,7130,4,3
id17,134,425103,7110,3,3
id17,134,425107,7120,3,3
id17,134,425114,7130,4,3
id17,134,425114,7110,3,3
id17,134,425114,7120,3,3
id17,134,425131,7130,4,3
id17,134,425133,7110,3,3
id17,134,425133,7120,3,3
id17,134,384188,7110,3,3
id17,134,423121,7120,3,3
id17,134,417137,7120,3,3
id17,134,417163,7110,3,3
id17,134,458142,7120,3,3
id17,134,458175,7120,3,3
id17,134,408141,7130,4,3
id17,134,409141,7120,3,3
id17,134,450139,7120,3,3
id17,134,450183,7130,4,3
id17,134,450183,7110,3,3
id17,134,450183,7120,3,3
id17,134,401127,7110,3,3
id17,134,401131,7120,3,3
id17,134,401138,7130,4,3
id17,134,434098,7120,3,3
id17,134,434100,7130,4,3
id17,134,434125,7110,3,3
id17,134,393191,7120,3,3
id17,134,393197,7110,3,3
id17,134,393212,7120,3,3
id17,141,467010,8130,3,3
id17,141,467012,8110,3,3
id17,141,467012,8130,3,3
id17,141,467021,8130,3,3
id17,141,467022,8120,4,3
id17,141,467026,8120,4,3
id17,141,467027,8130,3,3
id17,141,467037,8120,4,3
id17,141,467041,8120,4,3
id17,141,467047,8130,3,3
id17,141,467060,8130,3,3
id17,141,459016,8120,4,3
id17,141,459023,8120,4,3
id17,141,459024,8120,4,3
id17,141,459028,8120,4,3
id17,141,459030,8120,4,3
id17,141,459032,8120,4,3
id17,141,459033,8110,3,3
id17,141,459053,8120,4,3
id17,141,459063,8110,3,3
id17,141,451026,8120,4,3
id17,141,451031,8120,4,3
id17,141,451033,8110,3,3
id17,141,451039,8120,4,3
id17,141,451045,8120,4,3
id17,141,451054,8130,3,3
id17,141,492063,8110,3,3
id17,141,492063,8130,3,3
id17,141,492063,8120,4,3
id17,141,492065,8120,4,3
id17,141,492066,8120,4,3
id17,141,492069,8120,4,3
id17,141,492087,8110,3,3
id17,141,492087,8130,3,3
id17,141,443002,8110,3,3
id17,141,443031,8130,3,3
id17,141,443042,8110,3,3
id17,141,443060,8130,3,3
id17,141,484051,8110,3,3
id17,141,484053,8130,3,3
id17,141,484055,8110,3,3
id17,141,484072,8110,3,3
id17,141,435025,8110,3,3
id17,141,435029,8130,3,3
id17,141,435032,8120,4,3
id17,141,435051,8120,4,3
id17,141,435055,8130,3,3
id17,141,476040,8130,3,3
id17,141,476040,8120,4,3
id17,141,476049,8120,4,3
id17,141,476051,8120,4,3
id17,141,476058,8110,3,3
id17,141,476065,8130,3,3
id17,141,427027,8130,3,3
id17,141,468021,8130,3,3
id17,141,468034,8130,3,3
id17,141,468039,8110,3,3
id17,141,468039,8120,4,3
id17,141,468050,8130,3,3
id17,141,468054,8120,4,3
id17,141,460015,8120,4,3
id17,141,460017,8110,3,3
id17,141,460030,8110,3,3
id17,141,460032,8120,4,3
id17,141,460040,8110,3,3
id17,141,460048,8120,4,3
id17,141,460070,8130,3,3
id17,141,474011,8110,3,3
id17,141,452025,8110,3,3
id17,141,452030,8130,3,3
