sim_id,bkr,cell,rot,expected perms,actual perms
id16,129,488047,9120,3,3
id16,129,488047,9110,3,3
id16,129,488047,9130,3,3
id16,129,487040,9110,3,3
id16,129,487040,9130,3,3
id16,134,402211,7120,3,3
id16,134,429138,7130,4,3
id16,134,429138,7110,3,3
id16,134,404141,7130,4,3
id16,134,404141,7120,3,3
id16,134,408119,7130,4,3
id16,134,408119,7110,3,3
id16,134,425114,7130,4,3
id16,134,425114,7120,3,3
id16,134,450183,7130,4,3
id16,134,450183,7110,3,3
id16,134,450183,7120,3,3
id16,141,492063,8110,3,3
id16,141,492063,8130,3,3
id16,141,492063,8120,4,3
id16,141,454022,8130,3,3
id16,141,479045,8110,3,3
id16,141,488052,8110,3,3
id16,141,488052,8130,3,3
id16,141,488052,8120,4,3
id16,141,466047,8130,3,3
id16,141,475048,8110,3,3
id16,141,475048,8130,3,3
id16,141,475048,8120,4,3
id16,142,361156,6130,4,3
id16,142,361156,6120,3,3
id16,142,394054,6110,3,3
id16,142,394054,6120,3,3
id16,142,395117,6130,4,3
id16,142,395117,6120,3,3
id16,142,331106,6130,4,3
id16,142,331106,6110,3,3
id16,142,364029,6120,3,3
id16,142,436082,6130,4,3
id16,142,436082,6120,3,3
id16,142,372138,6130,4,3
id16,142,372138,6110,3,3
id16,142,372138,6120,3,3
id16,142,378030,6130,4,3
id16,142,378030,6120,3,3
id16,142,411035,6130,4,3
id16,142,445075,6110,3,3
id16,142,380171,6110,3,3
id16,142,449074,6130,4,3
id16,142,449074,6110,3,3
id16,142,449074,6120,3,3
id16,142,419029,6130,4,3
id16,142,388031,6130,4,3
id16,142,388031,6120,3,3
id16,142,360157,6110,3,3
id16,143,377206,5110,3,3
id16,143,377206,5130,3,3
id16,143,370210,5110,3,3
id16,143,420076,5110,3,3
id16,143,347235,5120,3,3
id16,143,347235,5110,3,3
id16,143,347235,5130,3,3
id16,143,430078,5120,3,3
id16,143,430078,5130,3,3
id16,143,341219,5120,3,3
id16,143,341219,5130,3,3
id16,143,391227,5120,3,3
id16,143,391227,5110,3,3
id16,143,433088,5120,3,3
id16,143,433088,5130,3,3
id16,143,392152,5120,3,3
id16,143,392152,5110,3,3
id16,143,392152,5130,3,3
id16,143,474107,5110,3,3
id16,143,474107,5130,3,3
id16,146,301205,1120,4,3
id16,146,301205,1110,3,3
id16,146,301205,1130,2,3
id16,147,323191,3130,2,3
id16,147,323191,3110,3,3
id16,148,344126,2120,3,3
id16,148,344126,2130,2,3
id16,148,328080,2110,3,3
id16,148,328080,2120,3,3
id16,148,369081,2110,3,3
id16,148,369081,2120,3,3
id16,148,369081,2130,2,3
id16,148,337166,2110,3,3
id16,148,324134,2120,3,3
id16,148,356075,2110,3,3
id16,148,356075,2130,2,3
id16,148,307114,2110,3,3
id16,148,307114,2120,3,3
id16,148,307114,2130,2,3
id16,148,381068,2120,3,3
id16,148,381068,2130,2,3
id16,148,357060,2120,3,3
id16,148,357060,2130,2,3
id16,148,349177,2130,2,3
id16,148,374063,2110,3,3
id16,148,374063,2120,3,3
id16,148,374063,2130,2,3
id16,148,325073,2130,2,3
id16,148,367185,2110,3,3
id16,148,367185,2120,3,3
id16,148,367185,2130,2,3
id16,148,335087,2130,2,3
id16,148,352104,2110,3,3
id16,148,352104,2120,3,3
id16,191,334175,4110,4,2
id16,191,332168,4110,4,2
id16,191,310134,4120,4,2
id16,191,310134,4110,4,2
