sim_id,bkr,cell,rot,expected perms,actual perms
id15,129,488047,9120,3,3
id15,129,488047,9110,3,3
id15,134,402211,7130,4,3
id15,134,402211,7110,3,3
id15,134,429138,7120,3,3
id15,134,404141,7130,4,3
id15,134,404141,7110,3,3
id15,134,408119,7130,4,2
id15,134,408119,7110,3,0
id15,134,425114,7130,4,3
id15,134,425114,7110,3,3
id15,134,425114,7120,3,3
id15,134,450183,7130,4,3
id15,134,450183,7110,3,3
id15,134,450183,7120,3,3
id15,141,443062,8110,3,3
id15,141,443062,8120,4,3
id15,141,468039,8130,3,3
id15,141,454022,8130,3,3
id15,141,454022,8120,4,3
id15,141,479045,8110,3,3
id15,141,479045,8130,3,3
id15,141,479045,8120,4,3
id15,141,447035,8130,3,3
id15,141,488052,8110,3,3
id15,141,488052,8120,4,3
id15,141,480074,8110,3,3
id15,141,456050,8120,4,3
id15,141,466047,8110,3,3
id15,141,466047,8130,3,3
id15,141,466047,8120,4,3
id15,141,458057,8130,3,3
id15,141,475048,8110,3,3
id15,141,475048,8120,4,3
id15,142,361156,6120,3,3
id15,142,394054,6110,3,3
id15,142,394054,6120,3,3
id15,142,395117,6120,3,3
id15,142,331106,6130,4,3
id15,142,331106,6110,3,3
id15,142,364029,6120,3,3
id15,142,436082,6130,4,3
id15,142,436082,6110,3,3
id15,142,338087,6120,3,3
id15,142,372138,6130,4,3
id15,142,373110,6130,4,3
id15,142,373110,6110,3,3
id15,142,378030,6130,4,3
id15,142,378030,6120,3,3
id15,142,445075,6110,3,3
id15,142,380171,6130,4,3
id15,142,380171,6120,3,3
id15,142,449074,6130,4,3
id15,142,449074,6110,3,3
id15,142,449074,6120,3,3
id15,142,419029,6130,4,3
id15,142,387091,6130,4,3
id15,142,387091,6120,3,3
id15,142,388031,6130,4,3
id15,142,388031,6120,3,3
id15,142,360157,6130,4,2
id15,142,360157,6120,3,0
id15,143,336212,5130,3,3
id15,143,377206,5120,3,3
id15,143,377206,5110,3,3
id15,143,370210,5120,3,3
id15,143,370210,5130,3,3
id15,143,387238,5130,3,3
id15,143,420076,5110,3,3
id15,143,420076,5130,3,3
id15,143,347235,5110,3,3
id15,143,380202,5110,3,3
id15,143,380202,5130,3,3
id15,143,356231,5120,3,3
id15,143,341219,5110,3,3
id15,143,341219,5130,3,3
id15,143,358220,5120,3,3
id15,143,391227,5120,3,3
id15,143,391227,5110,3,3
id15,143,391227,5130,3,3
id15,143,433088,5120,3,3
id15,143,392152,5110,3,3
id15,143,474107,5120,3,3
id15,143,474107,5110,3,3
id15,146,301205,1120,4,3
id15,146,301205,1110,3,3
id15,146,296184,1120,4,3
id15,146,296184,1130,2,3
id15,147,323191,3120,4,3
id15,147,323191,3130,2,3
id15,147,323191,3110,3,3
id15,148,344126,2120,3,3
id15,148,328080,2130,2,3
id15,148,369081,2120,3,3
id15,148,337166,2110,3,3
id15,148,337166,2120,3,3
id15,148,337166,2130,2,3
id15,148,321084,2130,2,3
id15,148,315092,2120,3,3
id15,148,356075,2110,3,3
id15,148,356075,2130,2,3
id15,148,307114,2120,3,3
id15,148,307114,2130,2,3
id15,148,381068,2110,3,3
id15,148,381068,2120,3,3
id15,148,381068,2130,2,3
id15,148,357060,2120,3,3
id15,148,357060,2130,2,3
id15,148,324134,2110,3,3
id15,148,324134,2120,3,3
id15,148,374063,2110,3,3
id15,148,325073,2110,3,3
id15,148,325073,2120,3,3
id15,148,325073,2130,2,3
id15,148,367185,2120,3,3
id15,148,367185,2130,2,3
id15,148,352104,2110,3,3
id15,148,352104,2120,3,3
id15,148,352104,2130,2,3
id15,191,334175,4120,4,2
id15,191,334175,4110,4,2
id15,191,332168,4120,4,2
id15,191,332168,4110,4,2
id15,191,310134,4110,4,2
