soil_id,meteo_id,rot_id,profile_0_SOC,thickness_0,Nlayers_0,profile_1_SOC,thickness_1,Nlayers_1,profile_2_SOC,thickness_2,Nlayers_2,profile_3_SOC,thickness_3,Nlayers_3,profile_4_SOC,thickness_4,Nlayers_4
23,"(76, 376)",7110,1.26,0.3,3,0.11399999999999999,1.0,10,0.054,0.7,7
5,"(75, 376)",7130,1.38,0.3,3,0.6,0.2,2,0.186,0.4,4,0.03,1.1,11
5,"(75, 373)",8110,1.38,0.3,3,0.6,0.10000000000000003,1
11,"(77, 376)",2110,1.14,0.3,3,0.3,0.3,3,0.3,0.09999999999999998,1,0.162,1.0,10
14,"(77, 372)",6130,1.08,0.3,3,0.33,0.5,5,0.216,1.0,10,0.216,0.4999999999999998,5
20,"(75, 374)",5120,1.212,0.3,3,0.192,1.0,10,0.162,0.8,8
16,"(78, 373)",2120,1.14,0.3,3,0.024,0.6000000000000001,6,0.024,0.29999999999999993,3,0.024,1.0999999999999999,11
63,"(77, 373)",6130,2.346,0.3,3,0.6,0.2,2,0.672,0.19999999999999996,2,0.03,1.4000000000000001,14
17,"(78, 374)",2130,1.572,0.3,3,0.672,0.39999999999999997,4,0.03,1.3,13
16,"(78, 375)",2130,1.14,0.3,3,0.324,0.5,5,0.024,1.2,12
6,"(77, 372)",6110,1.428,0.3,3,0.024,1.0,10
15,"(77, 374)",5110,1.044,0.3,3,0.11399999999999999,1.0999999999999999,11,0.054,0.6000000000000001,6
18,"(78, 373)",2120,1.44,0.3,3,0.186,1.2,12,0.10200000000000001,0.7999999999999998,8
23,"(77, 374)",6120,1.26,0.3,3,0.11399999999999999,0.8999999999999999,9,0.054,0.9000000000000001,9
12,"(78, 375)",2110,1.38,0.3,3,0.798,0.2,2,0.10200000000000001,1.6,16
21,"(75, 373)",8110,1.308,0.3,3,0.6,0.2,2,0.186,0.7,7,0.03,0.8,8
8,"(77, 375)",7120,1.11,0.3,3,0.276,1.0,10,0.276,0.7,7
5,"(77, 377)",7120,1.38,0.3,3,0.672,0.39999999999999997,4,0.186,0.40000000000000013,4,0.03,1.0,10
16,"(77, 374)",2120,1.14,0.3,3,0.024,1.2,12,0.024,0.5,5
8,"(76, 376)",7110,1.11,0.3,3,0.45599999999999996,0.39999999999999997,4,0.276,0.6000000000000001,6,0.276,0.5999999999999999,6,0.276,0.3999999999999999,4
20,"(77, 375)",7110,1.212,0.3,3,0.192,1.0,10,0.162,0.8,8
7,"(78, 376)",6130,1.56,0.3,3,0.39,0.3,3,0.10200000000000001,1.4,14
9,"(77, 377)",5110,1.3259999999999998,0.3,3,0.186,0.8,8,0.03,1.0,10
21,"(75, 371)",8120,1.308,0.3,3,0.186,1.0999999999999999,11,0.03,0.6000000000000001,6
20,"(77, 376)",7130,1.212,0.3,3,0.3,0.5,5,0.192,0.8,8,0.162,0.6999999999999997,7
3,"(77, 378)",5110,1.47,0.3,3,0.186,1.0,10,0.10200000000000001,0.7,7
20,"(76, 375)",7120,1.212,0.3,3,0.828,0.2,2,0.162,0.09999999999999998,1
3,"(77, 374)",2130,1.47,0.3,3,0.186,1.0,10,0.10200000000000001,0.8,8
0,"(76, 372)",6130,1.044,0.3,3,0.39,0.3,3,0.11399999999999999,0.30000000000000004,3,0.054,0.9,9
20,"(79, 377)",1110,1.212,0.3,3,0.3,0.3,3,0.192,0.9,9,0.162,0.6000000000000001,6
14,"(76, 372)",6130,1.08,0.3,3,0.516,0.2,2,0.216,1.2,12,0.216,0.5999999999999999,6
106,"(77, 377)",4110,1.236,0.2,2,0.6,0.2,2,0.006,0.19999999999999996,2
7,"(78, 376)",4120,1.56,0.1,1,0.10200000000000001,1.9,19
12,"(79, 377)",1120,1.38,0.3,3,0.10200000000000001,1.8,18
21,"(77, 373)",5120,1.308,0.3,3,0.672,0.39999999999999997,4,0.186,0.7,7,0.03,0.7000000000000002,7
23,"(77, 378)",5120,1.26,0.3,3,0.39,0.3,3,0.11399999999999999,0.5000000000000001,5,0.054,0.7999999999999998,8
20,"(76, 373)",5110,1.212,0.3,3,0.3,0.39999999999999997,4,0.192,0.6000000000000001,6,0.162,0.8,8
114,"(76, 375)",7120,1.044,0.3,3,0.33,0.5,5,0.21,0.3999999999999999,4,0.216,0.8,8
51,"(75, 372)",8120,0.864,0.3,3,0.3,0.3,3,0.162,1.5,15
14,"(77, 374)",2110,1.08,0.3,3,0.21,1.0,10,0.216,0.7,7
51,"(78, 375)",6110,0.864,0.3,3,0.3,0.39999999999999997,4,0.192,0.9000000000000001,9,0.162,0.5,5
23,"(77, 375)",7110,1.26,0.3,3,0.11399999999999999,1.3,13,0.054,0.3999999999999999,4
11,"(77, 375)",6120,1.14,0.3,3,0.162,1.4,14,0.162,0.40000000000000013,4
103,"(77, 374)",2130,1.74,0.3,3,0.522,1.0,10,0.522,0.8,8
5,"(77, 375)",6110,1.38,0.3,3,0.6,0.2,2,0.03,0.09999999999999998,1
21,"(77, 375)",6120,1.308,0.3,3,0.186,1.0,10,0.03,0.5,5,0.03,0.4999999999999998,5
21,"(79, 377)",1120,1.308,0.3,3,0.672,0.39999999999999997,4,0.186,0.7,7,0.03,0.6000000000000001,6
18,"(77, 373)",6110,1.44,0.3,3,0.798,0.2,2,0.10200000000000001,1.3,13,0.10200000000000001,0.30000000000000004,3
22,"(76, 373)",8110,1.152,0.3,3,0.186,0.7,7,0.10200000000000001,1.1,11
21,"(77, 374)",6110,1.308,0.3,3,0.6,0.2,2,0.186,0.8,8,0.186,0.30000000000000004,3,0.03,0.6999999999999997,7
14,"(77, 377)",5110,1.08,0.3,3,0.33,0.39999999999999997,4,0.21,0.6000000000000001,6,0.21,0.30000000000000004,3,0.216,0.6999999999999997,7
3,"(78, 376)",2130,1.47,0.3,3,0.186,0.6000000000000001,6,0.10200000000000001,1.1,11
17,"(76, 372)",8130,1.572,0.3,3,0.186,1.0999999999999999,11
19,"(78, 377)",1120,1.14,0.3,3,0.3,0.3,3,0.192,0.4,4,0.162,1.0,10
103,"(77, 377)",2130,1.74,0.3,3,0.522,1.7,17
14,"(77, 378)",5120,1.08,0.3,3,0.21,1.0,10,0.216,0.8,8
16,"(77, 377)",2130,1.14,0.3,3,0.6,0.2,2,0.024,1.5,15
19,"(78, 374)",2130,1.14,0.3,3,0.3,0.5,5,0.162,1.2,12
23,"(77, 374)",7120,1.26,0.3,3,0.054,1.4,14,0.054,0.40000000000000013,4
5,"(77, 373)",6130,1.38,0.3,3,0.6,0.2,2,0.186,0.8,8,0.03,0.7,7
58,"(77, 374)",2110,1.02,0.3,3,0.21,0.6000000000000001,6,0.216,1.1,11
107,"(77, 376)",6130,1.02,0.1,1,0.6,0.19999999999999998,2,0.03,0.3,3
8,"(78, 375)",2110,1.11,0.3,3,0.276,1.0,10,0.276,0.7,7
12,"(78, 376)",3120,1.38,0.3,3,0.10200000000000001,1.5,15
7,"(77, 375)",6120,1.56,0.3,3,0.186,1.2,12,0.10200000000000001,0.5,5
18,"(78, 373)",6110,1.44,0.3,3,0.186,1.2,12,0.10200000000000001,0.5,5
93,"(77, 373)",6120,9.0,0.3,3,0.9839999999999999,0.2,2,0.11399999999999999,0.4,4,0.11399999999999999,0.4999999999999999,5,0.066,0.8999999999999999,9
65,"(76, 372)",6120,1.794,0.3,3,0.11399999999999999,0.8,8,0.054,1.0,10
16,"(77, 373)",2130,1.14,0.3,3,0.024,1.7,17
14,"(75, 372)",8120,1.08,0.3,3,0.21,1.2,12,0.216,0.5,5
