like1,parPartSOM_Fast_to_SOM_Slow_soil,parSOM_FastDecCoeffStandard_soil,parPartSMB_Fast_to_SOM_Fast_soil,parPartSMB_Slow_to_SOM_Fast_soil,parAOM_SlowDecCoeffStandard_fert,parSOM_SlowDecCoeffStandard_soil,parAOM_SlowUtilizationEfficiency_,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,chain
-1.4111,0.26123,0.00015593,0.85059,0.61963,0.00017703,4.9353e-05,0.41382,0.55029,0.52637,0.5166,0.49951,0.48828,0.47754,0.46851,0.4668,0.45801,0.44409,0.43628,0.43286,0.427,0.42773,0.41846,0.39478,0.37915,0.36792,0.35474,0.55225,0.52686,0.52295,0.50537,0.49194,0.48047,0.47119,0.47681,0.46729,0.45898,0.448,0.45142,0.44971,0.46216,0.45581,0.43091,0.41064,0.41333,0.396,0.58789,0.57178,0.57813,0.56641,0.57471,0.56104,0.56445,0.57422,0.56934,0.55273,0.54053,0.5415,0.5415,0.56396,0.54346,0.55566,0.5332,0.54248,0.49878,0.58545,0.5957,0.62012,0.61523,0.63672,0.61816,0.63428,0.65771,0.66748,0.63623,0.62695,0.62305,0.625,0.6582,0.61279,0.68408,0.66846,0.68115,0.59473,0.59766,0.57178,0.5752,0.55566,0.54248,0.53125,0.52295,0.53174,0.53027,0.52246,0.50488,0.51172,0.51025,0.52441,0.51953,0.49463,0.4729,0.48022,0.46436,1.0
-1.4463,0.32056,0.00021446,0.47925,0.39771,0.000175,3.9697e-05,0.34863,0.54883,0.52344,0.51318,0.49512,0.48462,0.47461,0.46631,0.4646,0.45508,0.44214,0.43457,0.43164,0.42554,0.42578,0.41553,0.39307,0.37817,0.36768,0.35474,0.55029,0.52002,0.51465,0.49512,0.48242,0.47168,0.46313,0.46899,0.45728,0.44971,0.43774,0.44165,0.43823,0.44849,0.43799,0.41016,0.39014,0.39111,0.37231,0.58545,0.56201,0.56641,0.55176,0.55957,0.54639,0.55029,0.55957,0.55176,0.53467,0.521,0.52246,0.51953,0.53906,0.5127,0.51953,0.49585,0.50244,0.45435,0.58301,0.58594,0.60693,0.59863,0.61963,0.60059,0.61621,0.63916,0.64453,0.6123,0.60107,0.59619,0.59619,0.62598,0.57373,0.6377,0.61768,0.62598,0.53467,0.59473,0.56299,0.56445,0.54248,0.5293,0.51855,0.51123,0.52002,0.51611,0.50879,0.48999,0.49658,0.49365,0.50537,0.49487,0.46606,0.44385,0.44897,0.42944,2.0
-1.5752,0.30566,0.00011146,0.72852,0.60742,0.00018573,3.9577e-05,0.42139,0.55469,0.5376,0.53125,0.51807,0.50977,0.50195,0.49512,0.49487,0.48804,0.47681,0.47046,0.46826,0.46387,0.46558,0.45801,0.43823,0.42529,0.41626,0.40479,0.55762,0.53809,0.5376,0.52441,0.51367,0.50488,0.4978,0.50586,0.4978,0.49219,0.48242,0.4873,0.4873,0.50146,0.49634,0.47534,0.45801,0.46338,0.44775,0.59375,0.58301,0.59375,0.58594,0.59619,0.58545,0.59131,0.60352,0.6001,0.58594,0.57471,0.57764,0.57861,0.60303,0.58398,0.6001,0.58057,0.59277,0.55127,0.59082,0.60645,0.63428,0.6333,0.65723,0.64063,0.65918,0.68457,0.69531,0.6665,0.6582,0.65527,0.65918,0.69385,0.6499,0.72412,0.71094,0.72656,0.64209,0.60352,0.58301,0.59082,0.57568,0.56494,0.55664,0.55078,0.56152,0.56201,0.55713,0.54102,0.54883,0.54932,0.56494,0.56152,0.54102,0.52246,0.53271,0.51855,0.0
-1.7646,0.3999,0.0001471,0.80859,0.51416,0.00017679,3.922e-05,0.50684,0.55566,0.53955,0.53418,0.52148,0.5127,0.50488,0.49829,0.49878,0.49316,0.48145,0.47534,0.47339,0.46997,0.47241,0.47168,0.44702,0.43457,0.42627,0.41602,0.55957,0.54199,0.54297,0.53076,0.51904,0.50977,0.50293,0.51123,0.50537,0.49976,0.49072,0.49585,0.49805,0.51465,0.51807,0.49097,0.47388,0.48193,0.4668,0.5957,0.58789,0.6001,0.59375,0.604,0.59277,0.59863,0.61133,0.61084,0.59668,0.58691,0.58984,0.59277,0.61963,0.60352,0.62207,0.60303,0.61816,0.5791,0.59375,0.61182,0.6416,0.6416,0.66553,0.64893,0.66748,0.69434,0.70801,0.6792,0.67285,0.67041,0.67627,0.71338,0.67285,0.75049,0.73975,0.7583,0.67676,0.60645,0.58789,0.59717,0.58301,0.57178,0.56299,0.55713,0.56885,0.57129,0.56641,0.55127,0.55957,0.56201,0.57959,0.5791,0.56055,0.54248,0.55469,0.54297,1.0
-1.3916,0.28247,0.00013745,0.69531,0.47583,0.0002408,5.0426e-05,0.44629,0.55127,0.52783,0.51807,0.50098,0.48975,0.47925,0.47021,0.46875,0.45996,0.44604,0.43799,0.43457,0.42871,0.42969,0.42017,0.39526,0.37915,0.36743,0.35376,0.55371,0.52734,0.52344,0.50586,0.49219,0.48071,0.47144,0.47729,0.46777,0.45923,0.448,0.45142,0.44946,0.46167,0.4541,0.42725,0.40625,0.40845,0.38989,0.58887,0.57129,0.57764,0.56494,0.57227,0.55811,0.56152,0.5708,0.56494,0.54688,0.53418,0.53467,0.53369,0.55518,0.53271,0.54053,0.51611,0.52393,0.47827,0.58643,0.59521,0.61816,0.61133,0.63184,0.61182,0.62695,0.64941,0.65723,0.62354,0.61279,0.60742,0.6084,0.63965,0.59131,0.65625,0.63672,0.646,0.55664,0.59912,0.57178,0.5752,0.55469,0.54102,0.52979,0.521,0.53027,0.52832,0.52002,0.50195,0.5083,0.50635,0.51953,0.51318,0.4856,0.46289,0.46899,0.45166,2.0
-1.8301,0.25293,0.00012946,0.46875,0.55859,0.00016403,1.9491e-05,0.50537,0.55713,0.54297,0.53857,0.52783,0.521,0.51465,0.50977,0.51074,0.50586,0.49585,0.49072,0.48975,0.48706,0.48999,0.48633,0.46826,0.45801,0.4519,0.44336,0.56104,0.54346,0.54541,0.53418,0.52393,0.5166,0.51123,0.52051,0.51465,0.51025,0.50146,0.50732,0.50977,0.52637,0.5249,0.50244,0.48657,0.49609,0.4812,0.59717,0.58838,0.60107,0.59521,0.60596,0.59668,0.60352,0.61719,0.61523,0.60205,0.59229,0.59619,0.59863,0.62451,0.60645,0.62402,0.60596,0.62109,0.58105,0.59473,0.61182,0.64111,0.64111,0.66553,0.6499,0.66943,0.69629,0.70801,0.68018,0.67285,0.6709,0.67627,0.7124,0.66895,0.74414,0.73193,0.74902,0.66602,0.60742,0.58887,0.59912,0.58545,0.5752,0.56836,0.56396,0.57666,0.57861,0.57471,0.56006,0.56885,0.57129,0.58838,0.58594,0.56787,0.55078,0.56348,0.55127,0.0
-1.9111,0.37036,0.00013137,0.58887,0.69434,5.4181e-05,3.9339e-05,0.4646,0.55518,0.53906,0.5332,0.521,0.5127,0.50537,0.49902,0.49927,0.49292,0.48193,0.47583,0.47388,0.46997,0.47217,0.46606,0.44629,0.43359,0.42529,0.41455,0.55859,0.53955,0.54053,0.52783,0.51709,0.50879,0.50195,0.51025,0.50342,0.49805,0.48853,0.49365,0.49463,0.50977,0.50586,0.48462,0.46777,0.47461,0.45898,0.59473,0.58545,0.59766,0.59131,0.60254,0.59277,0.6001,0.61328,0.61182,0.59961,0.59033,0.59473,0.59814,0.62451,0.60791,0.62988,0.61426,0.63135,0.59375,0.59229,0.60986,0.63965,0.64063,0.6665,0.65234,0.67285,0.70117,0.71533,0.69043,0.68555,0.68604,0.69434,0.73291,0.69385,0.78076,0.77686,0.80273,0.72803,0.60498,0.58594,0.59473,0.58057,0.57031,0.5625,0.55762,0.56982,0.5708,0.56689,0.55176,0.56104,0.5625,0.57959,0.57764,0.56055,0.54346,0.55615,0.54443,1.0
-1.5381,0.22363,0.00017416,0.80615,0.38452,0.00017738,4.9412e-05,0.48486,0.54785,0.51953,0.50684,0.48633,0.47266,0.46021,0.44946,0.44727,0.43774,0.42188,0.41284,0.40869,0.40234,0.40308,0.396,0.36646,0.34937,0.33716,0.32324,0.55029,0.51953,0.51318,0.49194,0.47583,0.46216,0.45093,0.45557,0.44556,0.4353,0.42334,0.42578,0.42383,0.43604,0.42944,0.39917,0.37671,0.37891,0.35962,0.58545,0.56396,0.56738,0.55176,0.55664,0.54102,0.54248,0.55127,0.5459,0.52637,0.51367,0.51367,0.51221,0.53418,0.5127,0.51953,0.49438,0.50244,0.45752,0.58301,0.58838,0.60889,0.60059,0.61914,0.59814,0.6123,0.63477,0.64355,0.60986,0.6001,0.59473,0.59619,0.62842,0.58154,0.64795,0.62939,0.64014,0.55176,0.5957,0.56396,0.56396,0.54102,0.52441,0.51074,0.50098,0.5083,0.50635,0.49634,0.47852,0.48364,0.48169,0.49487,0.48877,0.45972,0.4353,0.44116,0.42407,2.0
-1.4971,0.28516,0.00015414,0.48096,0.84131,0.0001812,3.475e-05,0.44824,0.55371,0.53564,0.5293,0.51611,0.50732,0.49927,0.49268,0.49268,0.4856,0.47437,0.46802,0.46606,0.46191,0.46362,0.4563,0.43701,0.42432,0.41577,0.40479,0.55664,0.53564,0.53516,0.52148,0.51074,0.50195,0.49512,0.50293,0.49487,0.48926,0.47949,0.48438,0.48462,0.49878,0.49341,0.47266,0.45532,0.46118,0.44531,0.59229,0.58057,0.59082,0.58252,0.59277,0.58154,0.58691,0.59863,0.59424,0.58008,0.56885,0.57129,0.57227,0.59619,0.57666,0.5918,0.57178,0.5835,0.54102,0.58984,0.60352,0.63086,0.62842,0.65186,0.63477,0.65234,0.67725,0.68652,0.65674,0.64795,0.64453,0.64795,0.68213,0.63672,0.70947,0.69434,0.70801,0.62256,0.60254,0.58057,0.58838,0.57227,0.56152,0.55273,0.54688,0.55811,0.55762,0.55273,0.53613,0.54443,0.54492,0.56006,0.55615,0.53564,0.51709,0.52686,0.5127,0.0
-1.5508,0.26294,0.00012326,0.61182,0.69727,0.00027966,2.7895e-05,0.42334,0.55518,0.53906,0.53418,0.52197,0.51416,0.50732,0.50146,0.50146,0.49512,0.48486,0.479,0.47754,0.47363,0.47559,0.46875,0.45142,0.4397,0.43213,0.42212,0.55811,0.53955,0.54004,0.52783,0.51758,0.50977,0.50342,0.51221,0.50439,0.49976,0.49048,0.49585,0.49634,0.51074,0.50635,0.48682,0.4707,0.47754,0.46265,0.59424,0.58398,0.59521,0.58789,0.59863,0.58789,0.59375,0.60547,0.60156,0.58691,0.57568,0.57813,0.57959,0.60352,0.58398,0.59961,0.57959,0.5918,0.5498,0.59131,0.60693,0.63428,0.63232,0.65576,0.63867,0.65576,0.68018,0.68896,0.65869,0.64893,0.64502,0.64795,0.68115,0.63525,0.70654,0.69043,0.70313,0.61719,0.604,0.58447,0.59277,0.57813,0.56787,0.56006,0.55469,0.56592,0.56641,0.56152,0.5459,0.5542,0.55469,0.5708,0.56689,0.54736,0.52979,0.54053,0.52734,1.0
