Parznr,sim_file,crop_file,site_file,climate_file,treatment
12007,sim1.json,crop_ref.json,site_7.json,climate_MUE.csv,0
12033,sim2.json,crop_ref.json,site_33.json,climate_MUE.csv,0
12060,sim3.json,crop_ref.json,site_60.json,climate_MUE.csv,0
12083,sim4.json,crop_ref.json,site_83.json,climate_MUE.csv,0
12101,sim5.json,crop_ref.json,site_101.json,climate_MUE.csv,0
12107,sim6.json,crop_ref.json,site_107.json,climate_MUE.csv,0
12134,sim7.json,crop_ref.json,site_134.json,climate_MUE.csv,0
12154,sim8.json,crop_ref.json,site_154.json,climate_MUE.csv,0
12010,sim9.json,crop_13.json,site_10.json,climate_MUE.csv,13
12027,sim10.json,crop_13.json,site_27.json,climate_MUE.csv,13
12056,sim11.json,crop_13.json,site_56.json,climate_MUE.csv,13
12081,sim12.json,crop_13.json,site_81.json,climate_MUE.csv,13
12089,sim13.json,crop_13.json,site_89.json,climate_MUE.csv,13
12114,sim14.json,crop_13.json,site_114.json,climate_MUE.csv,13
12127,sim15.json,crop_13.json,site_127.json,climate_MUE.csv,13
12157,sim16.json,crop_13.json,site_157.json,climate_MUE.csv,13
12016,sim25.json,crop_25.json,site_16.json,climate_MUE.csv,25
12040,sim26.json,crop_25.json,site_40.json,climate_MUE.csv,25
12062,sim27.json,crop_25.json,site_62.json,climate_MUE.csv,25
12064,sim28.json,crop_25.json,site_64.json,climate_MUE.csv,25
12087,sim29.json,crop_25.json,site_87.json,climate_MUE.csv,25
12109,sim30.json,crop_25.json,site_109.json,climate_MUE.csv,25
12133,sim31.json,crop_25.json,site_133.json,climate_MUE.csv,25
12163,sim32.json,crop_25.json,site_163.json,climate_MUE.csv,25
12011,sim33.json,crop_35.json,site_11.json,climate_MUE.csv,35
12024,sim34.json,crop_35.json,site_24.json,climate_MUE.csv,35
12054,sim35.json,crop_35.json,site_54.json,climate_MUE.csv,35
12079,sim36.json,crop_35.json,site_79.json,climate_MUE.csv,35
12099,sim37.json,crop_35.json,site_99.json,climate_MUE.csv,35
12126,sim38.json,crop_35.json,site_126.json,climate_MUE.csv,35
12146,sim39.json,crop_35.json,site_146.json,climate_MUE.csv,35
12158,sim40.json,crop_35.json,site_158.json,climate_MUE.csv,35
12012,sim41.json,crop_45.json,site_12.json,climate_MUE.csv,45
12036,sim42.json,crop_45.json,site_36.json,climate_MUE.csv,45
12045,sim43.json,crop_45.json,site_45.json,climate_MUE.csv,45
12074,sim44.json,crop_45.json,site_74.json,climate_MUE.csv,45
12097,sim45.json,crop_45.json,site_97.json,climate_MUE.csv,45
12121,sim46.json,crop_45.json,site_121.json,climate_MUE.csv,45
12147,sim47.json,crop_45.json,site_147.json,climate_MUE.csv,45
12159,sim48.json,crop_45.json,site_159.json,climate_MUE.csv,45
