like1,parPartSOM_Fast_to_SOM_Slow_soil,parSOM_FastDecCoeffStandard_soil,parPartSMB_Fast_to_SOM_Fast_soil,parPartSMB_Slow_to_SOM_Fast_soil,parAOM_SlowDecCoeffStandard_fert,parSOM_SlowDecCoeffStandard_soil,parAOM_SlowUtilizationEfficiency_,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,chain
-1.459,0.43164,0.00014615,0.39917,0.68652,0.00018656,4.0889e-05,0.40894,0.5542,0.53662,0.53076,0.51758,0.50977,0.50195,0.49585,0.49561,0.48828,0.47754,0.47119,0.46924,0.46484,0.46631,0.45776,0.43848,0.42529,0.41626,0.40454,0.55664,0.53516,0.53467,0.52051,0.51025,0.50244,0.49585,0.50391,0.49463,0.48926,0.479,0.48413,0.48315,0.49585,0.48853,0.46606,0.44849,0.45288,0.43604,0.59277,0.5791,0.58887,0.57959,0.59033,0.57959,0.58545,0.59717,0.5918,0.57715,0.56494,0.56787,0.56787,0.58984,0.56787,0.58008,0.55957,0.56934,0.5249,0.58984,0.60205,0.62842,0.62549,0.64844,0.63184,0.64941,0.67432,0.68213,0.65234,0.64258,0.63916,0.64111,0.67334,0.62549,0.69482,0.67822,0.68945,0.60156,0.60205,0.57959,0.58691,0.57031,0.56006,0.55176,0.54639,0.55762,0.55615,0.55127,0.53418,0.54248,0.54199,0.55615,0.54932,0.52637,0.50732,0.51563,0.49927,0.0
-1.3867,0.33154,0.00017774,0.65088,0.61035,0.00024068,5.126e-05,0.42578,0.55029,0.52637,0.5166,0.49951,0.48853,0.47803,0.46924,0.46753,0.45874,0.44507,0.43726,0.43408,0.42822,0.42896,0.41919,0.39551,0.37988,0.36865,0.35522,0.55273,0.52588,0.52197,0.50391,0.49072,0.47949,0.47046,0.47632,0.46631,0.45825,0.44702,0.45044,0.44849,0.46045,0.45288,0.427,0.40649,0.40894,0.39063,0.58789,0.56982,0.57568,0.56299,0.57031,0.55664,0.55957,0.56885,0.56299,0.54492,0.53223,0.53271,0.53125,0.55273,0.53027,0.53906,0.51465,0.52246,0.47656,0.58545,0.59326,0.61572,0.60938,0.62939,0.60986,0.62451,0.64697,0.6543,0.62061,0.60986,0.60449,0.60498,0.63574,0.5874,0.65234,0.63281,0.64111,0.55176,0.59766,0.56982,0.57324,0.55273,0.53906,0.52783,0.52002,0.52881,0.52637,0.51807,0.50049,0.50684,0.50488,0.51807,0.51123,0.48462,0.4624,0.46851,0.45117,1.0
-1.7158,0.33984,0.00013304,0.87109,0.71045,0.00021946,3.4153e-05,0.3772,0.55469,0.53955,0.53467,0.52246,0.51514,0.50781,0.50195,0.50195,0.49585,0.48584,0.47998,0.47852,0.47437,0.47632,0.46973,0.45288,0.44141,0.43359,0.42383,0.55762,0.54053,0.54102,0.5293,0.51953,0.51172,0.50586,0.51416,0.50684,0.50244,0.49292,0.49854,0.49902,0.51367,0.50977,0.49219,0.47681,0.4834,0.46973,0.59424,0.58594,0.59766,0.5918,0.60303,0.59326,0.6001,0.6123,0.60938,0.59619,0.58594,0.58887,0.59082,0.61572,0.59814,0.61719,0.59961,0.61328,0.57324,0.5918,0.60938,0.63818,0.63867,0.66357,0.64844,0.66699,0.69287,0.7041,0.67578,0.66797,0.66553,0.66992,0.70459,0.66162,0.73877,0.72705,0.74316,0.66016,0.604,0.58594,0.59473,0.58105,0.57178,0.56396,0.55908,0.5708,0.57129,0.56738,0.55176,0.56055,0.56201,0.57813,0.57617,0.55859,0.54199,0.55371,0.54199,2.0
-1.3906,0.38184,0.00012267,0.70313,0.57959,0.00022161,5.3942e-05,0.34985,0.55225,0.53223,0.52441,0.50928,0.49976,0.49097,0.4834,0.48218,0.47363,0.46118,0.4541,0.45117,0.44556,0.44604,0.43652,0.41431,0.39917,0.38818,0.37476,0.5542,0.53076,0.52832,0.51221,0.50098,0.49146,0.48389,0.49023,0.48022,0.47339,0.4624,0.46655,0.46411,0.47583,0.46777,0.44312,0.42383,0.42578,0.4082,0.58984,0.57422,0.58203,0.57178,0.58105,0.56934,0.57422,0.58447,0.57813,0.56201,0.54932,0.55078,0.5498,0.5708,0.54785,0.55859,0.53613,0.54443,0.49854,0.5874,0.59814,0.62256,0.61816,0.64063,0.62305,0.63965,0.66357,0.6709,0.63965,0.62891,0.62451,0.62549,0.65674,0.60791,0.67578,0.6582,0.66846,0.57959,0.59912,0.57471,0.58008,0.56152,0.55029,0.54102,0.53418,0.54395,0.5415,0.53516,0.51709,0.52441,0.52246,0.53564,0.52832,0.50293,0.48218,0.48853,0.47119,0.0
-1.3867,0.17468,0.00013316,0.58789,0.73535,0.00018978,3.9518e-05,0.48193,0.55127,0.52881,0.52002,0.50342,0.49268,0.48242,0.47363,0.47266,0.46436,0.45068,0.44287,0.4397,0.43457,0.43579,0.42871,0.40332,0.38818,0.3772,0.36426,0.5542,0.52979,0.52686,0.51025,0.49683,0.4856,0.47681,0.48291,0.47388,0.46606,0.45532,0.45898,0.45825,0.47168,0.46631,0.44092,0.4209,0.4248,0.40698,0.58984,0.57422,0.58203,0.5708,0.57861,0.56494,0.56836,0.57861,0.57373,0.55664,0.54492,0.5459,0.5459,0.56934,0.54883,0.56055,0.5376,0.54736,0.50391,0.5874,0.59766,0.62256,0.61768,0.63867,0.61963,0.63477,0.65869,0.66748,0.63525,0.62598,0.62158,0.62402,0.65723,0.61133,0.68066,0.66357,0.67529,0.58838,0.6001,0.57422,0.5791,0.56006,0.54688,0.53564,0.52783,0.53711,0.53613,0.52832,0.51123,0.51807,0.51758,0.53174,0.52734,0.50293,0.4812,0.48901,0.47339,1.0
-1.5127,0.25806,9.0659e-05,0.82031,0.52246,0.00021636,5.722e-05,0.46289,0.5542,0.53564,0.52881,0.51465,0.50537,0.49609,0.48877,0.48828,0.4812,0.46851,0.46143,0.45874,0.45386,0.45557,0.44897,0.42529,0.41089,0.40039,0.3877,0.55762,0.53711,0.53662,0.52246,0.51025,0.50049,0.49268,0.49976,0.49243,0.4856,0.47559,0.47974,0.47998,0.49438,0.49048,0.46655,0.448,0.45288,0.43628,0.59326,0.58252,0.59326,0.58447,0.59375,0.58154,0.58643,0.59814,0.59521,0.5791,0.56836,0.57031,0.57129,0.5957,0.57715,0.5918,0.5708,0.58301,0.54102,0.59131,0.60645,0.63379,0.63184,0.6543,0.63721,0.6543,0.6792,0.69043,0.65967,0.65137,0.64795,0.65186,0.68604,0.64258,0.71582,0.70117,0.71631,0.63184,0.604,0.58301,0.58984,0.57422,0.56201,0.55225,0.54541,0.55566,0.55664,0.55029,0.53418,0.5415,0.5415,0.55713,0.5542,0.53223,0.51221,0.52148,0.50781,2.0
-1.4883,0.22485,0.00014412,0.77295,0.52783,0.00019574,4.8935e-05,0.35034,0.54834,0.52246,0.51123,0.49243,0.48071,0.46948,0.45996,0.45752,0.44727,0.43311,0.42456,0.4209,0.41382,0.41382,0.40283,0.37769,0.36108,0.34888,0.33447,0.5498,0.52051,0.51465,0.49512,0.48145,0.46973,0.45996,0.4646,0.45313,0.44434,0.43213,0.43506,0.4314,0.44189,0.43262,0.40454,0.38354,0.3833,0.3645,0.58545,0.56396,0.56836,0.55371,0.56104,0.54736,0.55029,0.55859,0.55127,0.5332,0.51953,0.52002,0.51758,0.5376,0.51318,0.52051,0.49634,0.50293,0.45557,0.58301,0.58838,0.60938,0.60156,0.62256,0.60303,0.61816,0.64063,0.64697,0.61377,0.60303,0.59766,0.59766,0.62793,0.57813,0.64355,0.62402,0.63281,0.54248,0.59473,0.56445,0.56543,0.54395,0.52979,0.51807,0.50928,0.51709,0.51367,0.50488,0.48608,0.49219,0.48901,0.50049,0.49194,0.46338,0.44019,0.44482,0.42603,0.0
-1.4736,0.27075,0.00016654,0.5498,0.54932,0.00018036,5.728e-05,0.53516,0.54932,0.52246,0.51123,0.49194,0.479,0.46704,0.45679,0.45508,0.44604,0.43018,0.42163,0.41748,0.41162,0.41235,0.41113,0.37549,0.35815,0.3457,0.3313,0.55225,0.52295,0.51758,0.4978,0.48218,0.46924,0.4585,0.46362,0.4541,0.44409,0.43237,0.43506,0.43359,0.44629,0.44165,0.40894,0.38623,0.38867,0.36865,0.5874,0.56689,0.57178,0.55713,0.5625,0.54688,0.54883,0.55811,0.55273,0.5332,0.52051,0.52051,0.51953,0.54102,0.51904,0.52588,0.5,0.50781,0.4624,0.58496,0.59082,0.61279,0.60449,0.62305,0.60205,0.61621,0.63867,0.64697,0.61279,0.60254,0.59668,0.59814,0.63037,0.58301,0.64746,0.62744,0.63721,0.54834,0.59814,0.56689,0.56885,0.54688,0.53076,0.51807,0.5083,0.5166,0.51465,0.50488,0.48682,0.49219,0.49048,0.50391,0.49731,0.46826,0.44385,0.44971,0.43188,1.0
-1.4082,0.28711,7.7546e-05,0.5083,0.40332,0.00022423,2.6107e-05,0.12524,0.55371,0.53711,0.53125,0.51953,0.51318,0.50684,0.50195,0.50146,0.49292,0.48364,0.47803,0.47656,0.47144,0.47168,0.46411,0.44482,0.43213,0.42285,0.41138,0.55371,0.53076,0.5293,0.51465,0.50732,0.50098,0.49585,0.50342,0.49072,0.48706,0.47583,0.48145,0.47778,0.4873,0.47583,0.45117,0.43481,0.43604,0.41797,0.58984,0.57178,0.57959,0.56934,0.58252,0.57422,0.58105,0.5918,0.58252,0.56885,0.55518,0.55811,0.55469,0.57275,0.54395,0.55371,0.5332,0.53906,0.48975,0.58691,0.59521,0.61914,0.61475,0.64063,0.62549,0.64404,0.66797,0.6709,0.6416,0.62939,0.62598,0.62451,0.65186,0.59717,0.6626,0.64355,0.65039,0.55762,0.59814,0.57373,0.57861,0.56152,0.55371,0.54785,0.54395,0.55469,0.54932,0.5459,0.52734,0.53613,0.53271,0.54297,0.53076,0.50586,0.48657,0.4917,0.47168,2.0
-2.4727,0.24268,4.8637e-05,0.76465,0.65723,0.0002414,3.9041e-05,0.44043,0.55859,0.54932,0.54736,0.53906,0.53369,0.52881,0.5249,0.52686,0.52246,0.51465,0.51025,0.50977,0.50732,0.51074,0.50635,0.49292,0.48413,0.47925,0.47168,0.56299,0.55127,0.55615,0.54785,0.54004,0.53467,0.53027,0.54102,0.53613,0.53418,0.52637,0.5332,0.53711,0.55469,0.5542,0.54004,0.52832,0.54004,0.52881,0.59961,0.59766,0.61377,0.61133,0.625,0.61719,0.62598,0.64063,0.64014,0.62939,0.62061,0.62549,0.62988,0.65771,0.64355,0.66846,0.65479,0.67383,0.63867,0.59717,0.62061,0.65332,0.65723,0.68408,0.67041,0.69092,0.71875,0.73193,0.70605,0.69971,0.69873,0.70557,0.74365,0.70361,0.78662,0.7793,0.80078,0.72314,0.60986,0.59766,0.61084,0.60156,0.59375,0.58838,0.58545,0.59961,0.60303,0.60156,0.58789,0.59814,0.60156,0.62061,0.62207,0.61084,0.59766,0.61475,0.60693,0.0
