sim_id,morris_index,AOM_FastUtilizationEfficiency-soil-organic,AOM_SlowUtilizationEfficiency-soil-organic,CN_Ratio_SMB-soil-organic,LimitClayEffect-soil-organic,PartSMB_Fast_to_SOM_Fast-soil-organic,PartSMB_Slow_to_SOM_Fast-soil-organic,PartSOM_Fast_to_SOM_Slow-soil-organic,PartSOM_to_SMB_Fast-soil-organic,PartSOM_to_SMB_Slow-soil-organic,SMB_FastDeathRateStandard-soil-organic,SMB_FastMaintRateStandard-soil-organic,SMB_SlowDeathRateStandard-soil-organic,SMB_SlowMaintRateStandard-soil-organic,SOM_FastDecCoeffStandard-soil-organic,SOM_FastUtilizationEfficiency-soil-organic,SOM_SlowDecCoeffStandard-soil-organic,SOM_SlowUtilizationEfficiency-soil-organic,AOM_FastDecCoeffStandard-residue,AOM_SlowDecCoeffStandard-residue,CN_Ratio_AOM_Slow-residue,PartAOM_Slow_to_SMB_Fast-residue,PartAOM_to_AOM_Fast-residue,AOM_FastDecCoeffStandard-org-fert,AOM_SlowDecCoeffStandard-org-fert,CN_Ratio_AOM_Fast-org-fert,CN_Ratio_AOM_Slow-org-fert,PartAOM_to_AOM_Fast-org-fert
5_75_372_8130,mu_star,0.010586471556708185,0.085569863111132224,0.0010840162549117063,0.010546579076684619,0.052034423815356716,0.065831233726485625,0.057850540077517693,0.00011516793794380664,0.0014261278988277203,0.026209488603313829,0.025002298263348439,0.024209712252898627,0.026296599435978181,0.046911715880549903,0.012092177572503653,0.10158722219727073,0.0053929428047969196,0.00046722107400997635,0.0027854209139997034,0.00011632409847534692,0.017600121673024553,0.029487915767577904,0.00020911482715869578,0.039500594955622796,0.00013334330365905207,0.00014208083402611542,0.0059883091091505374
5_75_372_8130,sigma,0.0051030223429135661,0.017136945932476378,0.0023284712528890217,0.0097479556517205673,0.018663948705809008,0.0278738845182296,0.016272018591951095,0.00020061872376734405,0.00089839159328248218,0.013939984608697407,0.01310484066479389,0.015618058873564709,0.013689479592479421,0.044624638563428839,0.008151784101348954,0.039968907531418005,0.0036339479895984793,0.00087558120344193144,0.0031809001324539813,0.00018977763762176972,0.019841924050662308,0.012948327943900984,0.00024720485919312924,0.023506548527772644,0.00020512510209320443,0.00026031883582886076,0.0025578377097776549
51_75_373_9120,mu_star,0.011585074854960431,0.092854326049487165,0.0026408749787736477,0.012800939687316991,0.057746556321346371,0.067656495339885839,0.054803989579998415,0.00015694693867430675,0.0010497027888244309,0.028936701053966587,0.027669943566165669,0.024494619380291471,0.02630575048305394,0.048359851774135723,0.012445254056840443,0.091033224621058687,0.0050924748401369405,0.00069162270183576965,0.003040476891985043,0.00042037979009820043,0.018271721008263391,0.030353408798748836,0.00038977639288869856,0.056240385634309928,0.00048641946720255765,0.00024841768333608809,0.0084216224970386881
51_75_373_9120,sigma,0.0052723941967070063,0.018188083607215057,0.0047102462103055624,0.011706347042816253,0.019944440776826396,0.0285106887241795,0.015258267664811023,0.00026063343978504028,0.00073452573383251784,0.015496160778260533,0.013789767672522034,0.015776895351105037,0.013870340376999957,0.043306434373304219,0.0084450999013581107,0.037671486125241613,0.0033499897886198711,0.0010685680747505866,0.0036424002093445552,0.00074052149575590091,0.020590666700372413,0.013146381842577983,0.00047784231616971597,0.033469162581594485,0.00070045377389004208,0.00035097027450717701,0.0034018941141228912
51_77_378_4110,mu_star,0.013167607816659677,0.10333412140956444,0.0019836348591302931,0.00062291471720239547,0.066392211135189047,0.070880226458027634,0.055705190757671358,6.8635693144749465e-05,0.00095459258816855128,0.033572601991483902,0.031481111320181818,0.030250106481768825,0.032538705765304307,0.054112021072962646,0.012330621808184771,0.088608666597097943,0.0045021178767172361,0.00067919070516117498,0.002256495657781105,0.00023711740637440482,0.020980752326287065,0.0340263727916333,0.00023508252548417325,0.053709135288833448,0.00017113419523632985,0.00011563195882446021,0.0068444453106254032
51_77_378_4110,sigma,0.0060235651760206614,0.020750398184929415,0.0044839607896583174,0.001266851151775974,0.022302469693455462,0.03119984060754628,0.016331944123977322,0.00012284492745466633,0.00070493307382044654,0.018183740814465398,0.014764161707974141,0.018627878640213556,0.017652948750285061,0.045441029141875852,0.0081640739545976709,0.038853156035742048,0.0033898555071786383,0.0010748856094001983,0.0032954913719516273,0.00054087280136374074,0.024876140638083275,0.015141994062197498,0.00036697566081610568,0.036202868752389004,0.00029859481944428918,0.00024428776416689999,0.0032372054781256393
16_75_373_9120,mu_star,0.011513733935685559,0.091824283610852486,0.0027949564139080952,0.011604072659089176,0.05733380049352494,0.067037564222164239,0.055557958255717028,0.00018770112622305452,0.001006228363359635,0.02894961298780753,0.027523257786925038,0.024718221336226181,0.026478464328677492,0.048888780024954996,0.0126747452958304,0.090992036212220101,0.0050425332440413905,0.00071980447510186529,0.0030313274657154626,0.00044598228095009407,0.018221784644393238,0.029987857494877444,0.00032227749686588859,0.05635276641312327,0.00040951519509634197,0.00028620429114968658,0.0081651944446813653
16_75_373_9120,sigma,0.0052302139759811952,0.018022511161484223,0.0049847136451444318,0.010465263166341067,0.019813559129016198,0.028121335947331082,0.015493266153599184,0.00029861917225718662,0.00069881116161600175,0.015463588195719266,0.013722635518723715,0.015829925508435663,0.013919258612812605,0.04348022058465062,0.0083979431472436753,0.037173796945887315,0.0032666654863811213,0.0011220920062953803,0.0035632188998898605,0.00072849102492069122,0.020651272131084582,0.01337466083170084,0.00037429332300836657,0.033269248982242955,0.0005765117479830655,0.0003682250723818211,0.003369616452798764
23_76_373_6110,mu_star,0.0098124302404189491,0.075033138715185049,0.0021597360568255436,0.0051877568708119399,0.046808137226105377,0.057857480168638023,0.055490076244598147,0.00015022239024941689,0.0021119238056700692,0.023626307040625339,0.022437719255233739,0.023024653361581732,0.024789739066093035,0.041325919639050003,0.010371893787562286,0.11632265753532553,0.0055295400688676099,0.00041425321047989795,0.0025650850250836708,0.00025804191101428076,0.015131563105331418,0.024834803488286931,0.00032240870401709575,0.033859351231207938,0.00031395911075840093,0.00029150725314419846,0.0049379997380589354
23_76_373_6110,sigma,0.004525914671767035,0.015235916184268235,0.0040538709840386884,0.0082882894270849689,0.016622923330871654,0.025643416586759414,0.016762038785331185,0.00024126976417783167,0.0010569684041421264,0.01291195639390736,0.011360634549786397,0.015064852039503402,0.013601135387113626,0.045894975353465969,0.0078820748937221564,0.046233672071055804,0.0045568075233468411,0.00061384612062508103,0.0033208191492374896,0.00052755653128084374,0.017553281875968236,0.01138889428354529,0.00022255431751745663,0.022646792301509875,0.00048883373858354495,0.00053523999793575765,0.0021836707330615732
