soil_id,meteo_id,rot_id
23,"(76, 376)",7110
5,"(75, 376)",7130
5,"(75, 373)",8110
11,"(77, 376)",2110
14,"(77, 372)",6130
20,"(75, 374)",5120
16,"(78, 373)",2120
63,"(77, 373)",6130
17,"(78, 374)",2130
16,"(78, 375)",2130
6,"(77, 372)",6110
15,"(77, 374)",5110
18,"(78, 373)",2120
23,"(77, 374)",6120
12,"(78, 375)",2110
21,"(75, 373)",8110
8,"(77, 375)",7120
5,"(77, 377)",7120
16,"(77, 374)",2120
8,"(76, 376)",7110
20,"(77, 375)",7110
7,"(78, 376)",6130
9,"(77, 377)",5110
21,"(75, 371)",8120
20,"(77, 376)",7130
3,"(77, 378)",5110
20,"(76, 375)",7120
3,"(77, 374)",2130
0,"(76, 372)",6130
20,"(79, 377)",1110
14,"(76, 372)",6130
106,"(77, 377)",4110
7,"(78, 376)",4120
12,"(79, 377)",1120
21,"(77, 373)",5120
23,"(77, 378)",5120
20,"(76, 373)",5110
114,"(76, 375)",7120
51,"(75, 372)",8120
14,"(77, 374)",2110
51,"(78, 375)",6110
23,"(77, 375)",7110
11,"(77, 375)",6120
103,"(77, 374)",2130
5,"(77, 375)",6110
21,"(77, 375)",6120
21,"(79, 377)",1120
18,"(77, 373)",6110
22,"(76, 373)",8110
21,"(77, 374)",6110
14,"(77, 377)",5110
3,"(78, 376)",2130
17,"(76, 372)",8130
19,"(78, 377)",1120
103,"(77, 377)",2130
14,"(77, 378)",5120
16,"(77, 377)",2130
19,"(78, 374)",2130
23,"(77, 374)",7120
5,"(77, 373)",6130
58,"(77, 374)",2110
107,"(77, 376)",6130
8,"(78, 375)",2110
12,"(78, 376)",3120
7,"(77, 375)",6120
18,"(78, 373)",6110
93,"(77, 373)",6120
65,"(76, 372)",6120
16,"(77, 373)",2130
14,"(75, 372)",8120
11,"(78, 377)",3120
53,"(77, 372)",6110
27,"(77, 373)",2110
7,"(78, 376)",4110
8,"(76, 373)",8110
7,"(78, 377)",1120
15,"(76, 374)",5130
5,"(78, 376)",3110
7,"(77, 373)",6110
7,"(78, 375)",3110
92,"(78, 374)",2130
5,"(75, 376)",7120
28,"(76, 373)",6110
27,"(75, 372)",9110
11,"(78, 374)",2130
23,"(76, 376)",7120
18,"(77, 373)",2130
3,"(77, 376)",6110
10,"(77, 373)",6130
7,"(78, 377)",3120
5,"(76, 373)",5110
5,"(76, 373)",5120
24,"(77, 374)",6110
18,"(77, 373)",5130
18,"(78, 375)",6120
16,"(75, 372)",9120
17,"(76, 374)",6120
9,"(77, 373)",6130
15,"(76, 373)",8110
21,"(75, 371)",8110
19,"(77, 373)",6130
23,"(75, 374)",6130
6,"(77, 374)",2130
106,"(78, 377)",4110
16,"(79, 377)",1130
8,"(75, 372)",8120
112,"(77, 375)",6120
20,"(78, 377)",3120
15,"(77, 375)",5130
17,"(76, 372)",8120
20,"(77, 373)",6130
11,"(78, 375)",6130
20,"(77, 374)",2130
7,"(77, 373)",6120
23,"(77, 377)",5110
20,"(78, 375)",3120
16,"(75, 373)",9130
8,"(78, 372)",6130
17,"(77, 373)",5120
15,"(79, 376)",1120
5,"(75, 375)",7120
53,"(77, 372)",6130
8,"(75, 373)",8110
23,"(76, 373)",8120
16,"(77, 373)",5120
27,"(75, 372)",8120
27,"(75, 373)",9120
15,"(77, 373)",5120
21,"(78, 375)",2110
21,"(78, 377)",5120
7,"(75, 373)",8130
21,"(77, 376)",5130
5,"(77, 377)",4120
5,"(78, 376)",4120
19,"(78, 376)",1130
112,"(76, 372)",6110
116,"(78, 376)",3110
22,"(77, 372)",6120
12,"(76, 373)",6130
28,"(78, 377)",1120
20,"(78, 377)",4110
19,"(79, 377)",1130
21,"(77, 374)",6120
129,"(77, 378)",5110
7,"(77, 377)",6120
6,"(78, 375)",2110
