p_id,sim_id,row_col,rot_id,obs_corg,sim_corg,profile
0,7_77_373_6110_191,77_373,6110,1.56,1.4810130286241043,0
0,7_77_373_6110_191,77_373,6110,0.39,0.3413702150474188,1
1,7_77_373_6110_191,77_373,6110,1.56,1.4615692435451662,0
1,7_77_373_6110_191,77_373,6110,0.39,0.2727648821083962,1
2,7_77_373_6110_191,77_373,6110,1.56,1.5416215035724046,0
2,7_77_373_6110_191,77_373,6110,0.39,0.30411595682357456,1
3,7_77_373_6110_191,77_373,6110,1.56,1.6377276164099837,0
3,7_77_373_6110_191,77_373,6110,0.39,0.25489275665939815,1
4,7_77_373_6110_191,77_373,6110,1.56,1.541729193444636,0
4,7_77_373_6110_191,77_373,6110,0.39,0.21784426244612098,1
5,7_77_373_6110_191,77_373,6110,1.56,1.5635225166666822,0
5,7_77_373_6110_191,77_373,6110,0.39,0.24678942549981295,1
6,7_77_373_6110_191,77_373,6110,1.56,1.5997355457536615,0
6,7_77_373_6110_191,77_373,6110,0.39,0.3128933208382655,1
7,7_77_373_6110_191,77_373,6110,1.56,1.5189018156107905,0
7,7_77_373_6110_191,77_373,6110,0.39,0.44020683306681346,1
8,7_77_373_6110_191,77_373,6110,1.56,1.4290611725582392,0
8,7_77_373_6110_191,77_373,6110,0.39,0.445644473790224,1
9,7_77_373_6110_191,77_373,6110,1.56,1.6843527775434197,0
9,7_77_373_6110_191,77_373,6110,0.39,0.20164240901682107,1
10,7_77_373_6110_191,77_373,6110,1.56,1.4727108941754892,0
10,7_77_373_6110_191,77_373,6110,0.39,0.25233729591081944,1
11,7_77_373_6110_191,77_373,6110,1.56,1.4457486541466238,0
11,7_77_373_6110_191,77_373,6110,0.39,0.49247589124025826,1
12,7_77_373_6110_191,77_373,6110,1.56,1.636758089101038,0
12,7_77_373_6110_191,77_373,6110,0.39,0.28358954447425255,1
13,7_77_373_6110_191,77_373,6110,1.56,1.5603024260153036,0
13,7_77_373_6110_191,77_373,6110,0.39,0.34204256469288974,1
14,7_77_373_6110_191,77_373,6110,1.56,1.4448458139677716,0
14,7_77_373_6110_191,77_373,6110,0.39,0.19767647079537717,1
0,10_79_376_1110_111,79_376,1110,1.428,1.6220174389944078,0
0,10_79_376_1110_111,79_376,1110,0.324,0.4214363865559012,1
1,10_79_376_1110_111,79_376,1110,1.428,1.4810130286241043,0
1,10_79_376_1110_111,79_376,1110,0.324,0.3413702150474188,1
2,10_79_376_1110_111,79_376,1110,1.428,1.4844099432403468,0
2,10_79_376_1110_111,79_376,1110,0.324,0.3349105736513645,1
3,10_79_376_1110_111,79_376,1110,1.428,1.5634868874668135,0
3,10_79_376_1110_111,79_376,1110,0.324,0.3055505491772822,1
4,10_79_376_1110_111,79_376,1110,1.428,1.4131002415780725,0
4,10_79_376_1110_111,79_376,1110,0.324,0.34932899295879094,1
5,10_79_376_1110_111,79_376,1110,1.428,1.466257972505303,0
5,10_79_376_1110_111,79_376,1110,0.324,0.3783315826853391,1
6,10_79_376_1110_111,79_376,1110,1.428,1.5572489837472736,0
6,10_79_376_1110_111,79_376,1110,0.324,0.27408479905005595,1
7,10_79_376_1110_111,79_376,1110,1.428,1.5107756701934585,0
7,10_79_376_1110_111,79_376,1110,0.324,0.27296867934039915,1
8,10_79_376_1110_111,79_376,1110,1.428,1.6122709359870036,0
8,10_79_376_1110_111,79_376,1110,0.324,0.3530464207318043,1
9,10_79_376_1110_111,79_376,1110,1.428,1.4637780437787526,0
9,10_79_376_1110_111,79_376,1110,0.324,0.43781447194676637,1
10,10_79_376_1110_111,79_376,1110,1.428,1.4860105660461076,0
10,10_79_376_1110_111,79_376,1110,0.324,0.28962130567901884,1
11,10_79_376_1110_111,79_376,1110,1.428,1.4347669355909216,0
11,10_79_376_1110_111,79_376,1110,0.324,0.23579036759284513,1
12,10_79_376_1110_111,79_376,1110,1.428,1.2227868331912026,0
12,10_79_376_1110_111,79_376,1110,0.324,0.33094463508071753,1
13,10_79_376_1110_111,79_376,1110,1.428,1.4035692653233207,0
13,10_79_376_1110_111,79_376,1110,0.324,0.5604492195612004,1
14,10_79_376_1110_111,79_376,1110,1.428,1.4709566998392902,0
14,10_79_376_1110_111,79_376,1110,0.324,0.37490411679865726,1
0,21_77_374_2130_155,77_374,2130,1.308,1.5193261609767295,0
0,21_77_374_2130_155,77_374,2130,0.192,0.2978763535578849,1
1,21_77_374_2130_155,77_374,2130,1.308,1.1699119905419075,0
1,21_77_374_2130_155,77_374,2130,0.192,0.18356272992541503,1
2,21_77_374_2130_155,77_374,2130,1.308,1.3081522656096234,0
2,21_77_374_2130_155,77_374,2130,0.192,0.17102401860298108,1
3,21_77_374_2130_155,77_374,2130,1.308,1.184894606195035,0
3,21_77_374_2130_155,77_374,2130,0.192,0.13556908521576322,1
4,21_77_374_2130_155,77_374,2130,1.308,1.314007963945072,0
