params_id,sim_id,RMSE (% Corg),Corg_0,Corg_1,Corg_2,Corg_3,Corg_4
0,6_77_377_2110_111,0.1388,1.6929,1.5739
1,6_77_377_2110_111,0.0112,1.9616,1.7519
2,6_77_377_2110_111,0.1342,1.6269,1.6699
3,6_77_377_2110_111,0.1638,1.8749,1.9445
4,6_77_377_2110_111,0.0662,1.816,1.6912
5,6_77_377_2110_111,0.1408,1.69,1.8628
6,6_77_377_2110_111,0.0187,1.7744,1.6917
7,6_77_377_2110_111,0.097,1.7101,1.6693
8,6_77_377_2110_111,0.1751,1.5597,1.8935
9,6_77_377_2110_111,0.0838,1.9413,1.9195
10,6_77_377_2110_111,0.0707,2.0161,1.6282
11,6_77_377_2110_111,0.0882,1.9134,1.8118
12,6_77_377_2110_111,0.1399,2.1638,1.6699
13,6_77_377_2110_111,0.114,1.9729,1.7905
14,6_77_377_2110_111,0.0882,1.7178,1.7964
0,51_78_374_2130_102,0.0774,0.9699,0.4058
1,51_78_374_2130_102,0.0989,1.168,0.4827
2,51_78_374_2130_102,0.09,1.2289,0.3048
3,51_78_374_2130_102,0.0512,0.9021,0.336
4,51_78_374_2130_102,0.0602,1.1421,0.2656
5,51_78_374_2130_102,0.0556,1.1326,0.2511
6,51_78_374_2130_102,0.1073,1.1454,0.4603
7,51_78_374_2130_102,0.0361,0.9977,0.3525
8,51_78_374_2130_102,0.0694,1.1571,0.2812
9,51_78_374_2130_102,0.0869,1.1868,0.254
10,51_78_374_2130_102,0.0437,0.9649,0.3436
11,51_78_374_2130_102,0.0651,0.8626,0.3473
12,51_78_374_2130_102,0.0606,0.9169,0.3116
13,51_78_374_2130_102,0.0257,0.9923,0.3498
14,51_78_374_2130_102,0.0873,1.0881,0.4599
0,103_78_374_2130_135,0.063,2.6692,0.6103
1,103_78_374_2130_135,0.0816,2.8993,0.5393
2,103_78_374_2130_135,0.0552,2.6721,0.4694
3,103_78_374_2130_135,0.0266,2.3509,0.5578
4,103_78_374_2130_135,0.1353,2.6114,0.7408
5,103_78_374_2130_135,0.0824,2.7584,0.6411
6,103_78_374_2130_135,0.1249,2.1199,0.5079
