p_id,sim_id,row_col,rot_id,obs_corg,sim_corg,profile
0,66_77_372_6110_140,77_372,6110,0.78,1.0471174928830629,0
0,66_77_372_6110_140,77_372,6110,0.6,0.5680554543357281,1
1,66_77_372_6110_140,77_372,6110,0.78,0.7979653133716174,0
1,66_77_372_6110_140,77_372,6110,0.6,0.5366755117558243,1
2,66_77_372_6110_140,77_372,6110,0.78,0.7152025186672067,0
2,66_77_372_6110_140,77_372,6110,0.6,0.5634451610622603,1
3,66_77_372_6110_140,77_372,6110,0.78,0.7234354090287245,0
3,66_77_372_6110_140,77_372,6110,0.6,0.6862395829544001,1
4,66_77_372_6110_140,77_372,6110,0.78,0.7905522449023693,0
4,66_77_372_6110_140,77_372,6110,0.6,0.5276322072893774,1
5,66_77_372_6110_140,77_372,6110,0.78,0.80273090805152,0
5,66_77_372_6110_140,77_372,6110,0.6,0.5198312676651828,1
6,66_77_372_6110_140,77_372,6110,0.78,0.7747674821979904,0
6,66_77_372_6110_140,77_372,6110,0.6,0.44484054335086265,1
7,66_77_372_6110_140,77_372,6110,0.78,0.8153341141610756,0
7,66_77_372_6110_140,77_372,6110,0.6,0.4576778188580772,1
8,66_77_372_6110_140,77_372,6110,0.78,0.7942411493337446,0
8,66_77_372_6110_140,77_372,6110,0.6,0.572897216264447,1
9,66_77_372_6110_140,77_372,6110,0.78,0.8047919327346122,0
9,66_77_372_6110_140,77_372,6110,0.6,0.4908700368440902,1
10,66_77_372_6110_140,77_372,6110,0.78,0.8094797986804594,0
10,66_77_372_6110_140,77_372,6110,0.6,0.6282694316145084,1
11,66_77_372_6110_140,77_372,6110,0.78,0.7420149773335541,0
11,66_77_372_6110_140,77_372,6110,0.6,0.7148211342047971,1
12,66_77_372_6110_140,77_372,6110,0.78,0.9228783031300082,0
12,66_77_372_6110_140,77_372,6110,0.6,0.43259477902574567,1
13,66_77_372_6110_140,77_372,6110,0.78,0.6972282840265946,0
13,66_77_372_6110_140,77_372,6110,0.6,0.47987276545965757,1
14,66_77_372_6110_140,77_372,6110,0.78,0.7657270934578276,0
14,66_77_372_6110_140,77_372,6110,0.6,0.6262080252728136,1
0,5_78_377_5110_137,78_377,5110,1.38,0.8289404900128009,0
0,5_78_377_5110_137,78_377,5110,0.6,0.7030903404174864,1
1,5_78_377_5110_137,78_377,5110,1.38,1.4239232894969271,0
1,5_78_377_5110_137,78_377,5110,0.6,0.5880585530226597,1
2,5_78_377_5110_137,78_377,5110,1.38,1.4502196052836533,0
2,5_78_377_5110_137,78_377,5110,0.6,0.5531770855846283,1
3,5_78_377_5110_137,78_377,5110,1.38,1.4346461333501637,0
3,5_78_377_5110_137,78_377,5110,0.6,0.689878275613155,1
4,5_78_377_5110_137,78_377,5110,1.38,1.3913291101083398,0
4,5_78_377_5110_137,78_377,5110,0.6,0.690877664716619,1
5,5_78_377_5110_137,78_377,5110,1.38,1.3214539972132715,0
5,5_78_377_5110_137,78_377,5110,0.6,0.5246171702947553,1
6,5_78_377_5110_137,78_377,5110,1.38,1.3765091705740329,0
6,5_78_377_5110_137,78_377,5110,0.6,0.6038492461222592,1
7,5_78_377_5110_137,78_377,5110,1.38,1.4841958743988741,0
7,5_78_377_5110_137,78_377,5110,0.6,0.4705139846024124,1
8,5_78_377_5110_137,78_377,5110,1.38,1.312491314950516,0
8,5_78_377_5110_137,78_377,5110,0.6,0.7685322151587061,1
9,5_78_377_5110_137,78_377,5110,1.38,1.4623242509867729,0
9,5_78_377_5110_137,78_377,5110,0.6,0.47298718601330353,1
10,5_78_377_5110_137,78_377,5110,1.38,1.4105746131375365,0
10,5_78_377_5110_137,78_377,5110,0.6,0.5064527584730582,1
11,5_78_377_5110_137,78_377,5110,1.38,1.4079376279653664,0
11,5_78_377_5110_137,78_377,5110,0.6,0.5804311724156614,1
12,5_78_377_5110_137,78_377,5110,1.38,1.2543295026281593,0
12,5_78_377_5110_137,78_377,5110,0.6,0.686353694487329,1
13,5_78_377_5110_137,78_377,5110,1.38,1.3725585198443806,0
13,5_78_377_5110_137,78_377,5110,0.6,0.6295448322708136,1
14,5_78_377_5110_137,78_377,5110,1.38,1.3160041513090905,0
14,5_78_377_5110_137,78_377,5110,0.6,0.6383010606688025,1
0,17_78_376_4110_88,78_376,4110,1.572,1.3932979060512247,0
0,17_78_376_4110_88,78_376,4110,1.38,0.626538331916077,1
1,17_78_376_4110_88,78_376,4110,1.572,1.6139793722516553,0
1,17_78_376_4110_88,78_376,4110,1.38,1.3263782987567811,1
2,17_78_376_4110_88,78_376,4110,1.572,1.1403980952105703,0
2,17_78_376_4110_88,78_376,4110,1.38,1.3914379823473453,1
3,17_78_376_4110_88,78_376,4110,1.572,1.6571591286226515,0
3,17_78_376_4110_88,78_376,4110,1.38,1.4846869896290948,1
4,17_78_376_4110_88,78_376,4110,1.572,1.4009613267781753,0
4,17_78_376_4110_88,78_376,4110,1.38,1.4587511124090982,1
5,17_78_376_4110_88,78_376,4110,1.572,1.5284827794043836,0
5,17_78_376_4110_88,78_376,4110,1.38,1.497334960602369,1
6,17_78_376_4110_88,78_376,4110,1.572,1.6159089265448043,0
6,17_78_376_4110_88,78_376,4110,1.38,1.2749873663896822,1
7,17_78_376_4110_88,78_376,4110,1.572,1.420289753172742,0
7,17_78_376_4110_88,78_376,4110,1.38,1.339136202966591,1
8,17_78_376_4110_88,78_376,4110,1.572,1.465902570225609,0
8,17_78_376_4110_88,78_376,4110,1.38,1.3956013558989524,1
9,17_78_376_4110_88,78_376,4110,1.572,1.546551346730042,0
9,17_78_376_4110_88,78_376,4110,1.38,1.3745812867210545,1
10,17_78_376_4110_88,78_376,4110,1.572,1.268468097942684,0
10,17_78_376_4110_88,78_376,4110,1.38,1.3335259056283963,1
11,17_78_376_4110_88,78_376,4110,1.572,1.577169172807324,0
11,17_78_376_4110_88,78_376,4110,1.38,1.416519449638599,1
12,17_78_376_4110_88,78_376,4110,1.572,1.5586532084229188,0
12,17_78_376_4110_88,78_376,4110,1.38,1.320131352820756,1
13,17_78_376_4110_88,78_376,4110,1.572,1.4865888284276148,0
13,17_78_376_4110_88,78_376,4110,1.38,1.4087608536665714,1
14,17_78_376_4110_88,78_376,4110,1.572,1.5928820313824046,0
14,17_78_376_4110_88,78_376,4110,1.38,1.4171774602206133,1
0,5_76_374_7110_74,76_374,7110,1.38,1.6404663863076219,0
0,5_76_374_7110_74,76_374,7110,0.6,1.4174234276650817,1
1,5_76_374_7110_74,76_374,7110,1.38,1.4057513208532426,0
1,5_76_374_7110_74,76_374,7110,0.6,0.5026283492314841,1
2,5_76_374_7110_74,76_374,7110,1.38,1.3430482616447934,0
2,5_76_374_7110_74,76_374,7110,0.6,0.6562768618450844,1
3,5_76_374_7110_74,76_374,7110,1.38,1.3893418523856638,0
