soil_OID,meteo_id,rot_id,orgN_kreise,profile_0_SOC,thickness_0,Nlayers_0,profile_1_SOC,thickness_1,Nlayers_1,profile_2_SOC,thickness_2,Nlayers_2,profile_3_SOC,thickness_3,Nlayers_3,profile_4_SOC,thickness_4,Nlayers_4
46,"(77, 375)",6120,96.0,0.888,0.3,3,0.10200000000000001,1.7,17
24,"(77, 375)",6120,129.0,1.26,0.3,3,0.324,0.3,3,0.024,0.5000000000000001,5,0.024,0.7999999999999998,8,0.024,0.30000000000000027,3
3,"(77, 378)",5120,90.0,1.47,0.3,3,0.186,1.0,10,0.10200000000000001,0.7,7
92,"(77, 374)",6130,96.0,1.3499999999999999,0.3,3,0.192,0.7,7,0.162,0.8999999999999999,9
15,"(77, 372)",6110,91.0,1.044,0.3,3,0.39,0.3,3,0.054,1.1,11,0.054,0.40000000000000013,4
92,"(77, 376)",6110,107.0,1.3499999999999999,0.3,3,0.3,0.39999999999999997,4,0.192,0.5,5,0.162,0.9000000000000001,9
20,"(77, 376)",7120,102.0,1.212,0.2,2,0.192,0.9000000000000001,9,0.162,1.0,10
0,"(76, 372)",6120,126.0,1.044,0.3,3,0.39,0.3,3,0.11399999999999999,0.30000000000000004,3,0.054,0.9,9
11,"(77, 376)",2110,116.0,1.14,0.3,3,0.3,0.3,3,0.3,0.09999999999999998,1,0.162,1.0,10
58,"(77, 373)",2110,140.0,1.02,0.3,3,0.33,0.39999999999999997,4,0.216,1.4000000000000001,14
15,"(75, 374)",8110,42.0,1.044,0.3,3,0.39,0.5,5,0.054,1.2,12
21,"(77, 373)",5120,52.0,1.308,0.3,3,0.672,0.39999999999999997,4,0.186,0.5,5,0.03,0.9000000000000001,9
15,"(75, 372)",8120,70.0,1.044,0.3,3,0.11399999999999999,1.0,10,0.11399999999999999,0.19999999999999996,2,0.054,0.6000000000000001,6
24,"(77, 375)",6130,155.0,1.26,0.3,3,0.324,0.3,3,0.024,0.5000000000000001,5,0.024,0.7999999999999998,8,0.024,0.30000000000000027,3
12,"(78, 376)",1110,101.0,1.38,0.3,3,0.10200000000000001,1.5,15
27,"(77, 373)",6110,86.0,1.188,0.3,3,0.11399999999999999,0.5,5,0.11399999999999999,1.2,12
18,"(77, 374)",2130,121.0,1.44,0.3,3,0.186,1.2,12,0.10200000000000001,0.5,5
30,"(77, 372)",6120,193.0,8.4,0.3,3,3.0900000000000003,0.2,2,0.672,0.30000000000000004,3,0.03,1.3,13
106,"(77, 377)",5130,111.0,1.236,0.3,3,0.006,0.3,3
3,"(77, 376)",6120,111.0,1.47,0.2,2,0.186,0.8,8,0.10200000000000001,1.1,11
5,"(75, 372)",9110,70.0,1.38,0.2,2,0.03,0.39999999999999997,4
9,"(78, 376)",6110,129.0,1.3259999999999998,0.3,3,0.672,0.39999999999999997,4,0.03,1.0,10
7,"(78, 374)",2130,155.0,1.56,0.3,3,0.186,1.0,10,0.10200000000000001,0.5,5,0.10200000000000001,0.19999999999999996,2
18,"(78, 375)",2110,107.0,1.44,0.3,3,0.39,0.39999999999999997,4,0.10200000000000001,1.4000000000000001,14
15,"(78, 377)",5120,155.0,1.044,0.3,3,0.39,0.3,3,0.11399999999999999,0.7000000000000001,7,0.054,0.8,8
92,"(78, 377)",5120,65.0,1.3499999999999999,0.3,3,0.192,0.8999999999999999,9,0.162,0.6000000000000001,6,0.162,0.4999999999999998,5
22,"(76, 373)",6110,91.0,1.152,0.3,3,0.186,0.8,8,0.10200000000000001,0.8999999999999999,9
23,"(76, 371)",8110,137.0,1.26,0.3,3,0.11399999999999999,0.6000000000000001,6,0.054,1.1,11
8,"(75, 373)",8110,42.0,1.11,0.3,3,0.276,1.0,10,0.276,0.7,7
5,"(75, 374)",6120,49.0,1.38,0.3,3,0.186,1.0,10,0.03,0.7,7
66,"(77, 372)",6130,140.0,0.78,0.3,3,0.6,0.2,2,0.11399999999999999,0.4,4,0.11399999999999999,0.4999999999999999,5,0.066,0.8999999999999999,9
27,"(75, 372)",8130,70.0,1.188,0.3,3,0.11399999999999999,0.39999999999999997,4,0.11399999999999999,1.1,11
5,"(76, 375)",7120,101.0,1.38,0.3,3,0.6,0.2,2,0.186,0.5,5,0.03,1.0,10
53,"(77, 372)",6120,191.0,4.62,0.3,3,3.0900000000000003,0.10000000000000003,1,0.186,0.6,6,0.03,1.0,10
24,"(77, 375)",6130,96.0,1.26,0.3,3,0.024,0.8999999999999999,9,0.024,0.5,5,0.024,0.5000000000000002,5
20,"(78, 377)",3130,92.0,1.212,0.3,3,0.162,1.7,17
6,"(77, 374)",2120,121.0,1.428,0.3,3,1.38,0.10000000000000003,1,0.024,1.1,11,0.024,0.5,5
7,"(78, 375)",2110,135.0,1.56,0.3,3,0.39,0.3,3,0.10200000000000001,1.5,15
112,"(77, 374)",2110,121.0,1.26,0.3,3,0.672,0.3,3,0.186,1.0,10,0.03,0.5,5
20,"(77, 375)",6130,96.0,1.212,0.3,3,0.3,0.39999999999999997,4,0.192,0.6000000000000001,6,0.162,0.8,8
27,"(75, 373)",9120,70.0,1.188,0.3,3,0.11399999999999999,0.39999999999999997,4,0.11399999999999999,1.3,13
15,"(78, 378)",5120,65.0,1.044,0.3,3,0.11399999999999999,1.0999999999999999,11,0.054,0.7000000000000002,7
7,"(78, 376)",3110,92.0,1.56,0.3,3,0.10200000000000001,1.7,17
28,"(77, 375)",7110,74.0,1.296,0.3,3,0.276,1.0,10,0.276,0.7,7
8,"(75, 373)",9110,91.0,1.11,0.3,3,0.276,1.0,10,0.276,0.7,7
28,"(77, 374)",5110,81.0,1.296,0.3,3,0.45599999999999996,0.3,3,0.276,1.5,15
10,"(77, 375)",2110,155.0,1.428,0.3,3,0.324,0.3,3,0.024,0.5000000000000001,5,0.024,0.7,7
107,"(78, 374)",6110,135.0,1.02,0.3,3,0.6,0.2,2,0.03,0.09999999999999998,1
19,"(78, 375)",2130,129.0,1.14,0.3,3,0.3,0.3,3,0.192,0.9,9,0.162,0.5,5
16,"(77, 374)",6130,121.0,1.14,0.3,3,0.024,1.2,12,0.024,0.5,5
5,"(77, 377)",7120,155.0,1.38,0.3,3,0.6,0.10000000000000003,1,0.672,0.29999999999999993,3,0.03,1.4000000000000001,14
22,"(77, 373)",6120,191.0,1.152,0.3,3,0.39,0.5,5,0.10200000000000001,0.8999999999999999,9,0.10200000000000001,0.5999999999999999,6
18,"(78, 373)",2130,121.0,1.44,0.3,3,0.186,1.2,12,0.10200000000000001,0.5,5
5,"(75, 371)",8130,107.0,1.38,0.3,3,0.186,0.8,8
15,"(76, 373)",8130,49.0,1.044,0.3,3,0.39,0.3,3,0.054,1.5,15
6,"(77, 377)",2110,116.0,1.428,0.3,3,1.38,0.2,2,0.024,1.5,15
65,"(77, 376)",6130,107.0,1.794,0.3,3,0.11399999999999999,1.3,13,0.054,0.3999999999999999,4
7,"(78, 376)",3120,92.0,1.56,0.3,3,0.10200000000000001,1.7,17
22,"(77, 372)",6120,132.0,1.152,0.3,3,0.186,0.8,8,0.10200000000000001,0.8999999999999999,9
20,"(75, 374)",8110,76.0,1.212,0.3,3,0.192,1.0999999999999999,11,0.162,0.6000000000000001,6
53,"(77, 373)",2120,140.0,4.62,0.3,3,3.0900000000000003,0.2,2,0.672,0.19999999999999996,2,0.03,1.4000000000000001,14
23,"(77, 375)",5120,96.0,1.26,0.3,3,0.11399999999999999,1.3,13,0.054,0.3999999999999999,4
8,"(76, 376)",7120,101.0,1.11,0.3,3,0.45599999999999996,0.39999999999999997,4,0.276,0.6000000000000001,6,0.276,0.5999999999999999,6,0.276,0.3999999999999999,4
12,"(76, 372)",6120,132.0,1.38,0.3,3,0.186,0.7,7,0.10200000000000001,1.0,10
16,"(78, 376)",2110,116.0,1.14,0.3,3,0.6,0.2,2,0.024,1.5,15
19,"(78, 373)",2130,135.0,1.14,0.3,3,0.3,0.5,5,0.162,1.0,10,0.162,0.19999999999999996,2
19,"(78, 375)",2130,102.0,1.14,0.3,3,0.828,0.2,2,0.192,1.1,11,0.162,0.3999999999999999,4
17,"(78, 374)",6130,155.0,1.572,0.3,3,0.186,0.8999999999999999,9,0.03,0.5,5,0.03,0.5000000000000002,5
8,"(77, 373)",5130,52.0,1.11,0.3,3,0.276,1.0,10,0.276,0.7,7
12,"(76, 372)",6130,132.0,1.38,0.3,3,0.186,0.7,7,0.10200000000000001,1.0,10
18,"(78, 375)",2130,102.0,1.44,0.3,3,0.39,0.39999999999999997,4,0.10200000000000001,1.4000000000000001,14
114,"(75, 373)",8110,76.0,1.044,0.3,3,0.216,1.5,15,0.216,0.30000000000000004,3
5,"(75, 373)",9110,70.0,1.38,0.3,3,0.672,0.3,3
18,"(78, 375)",2130,135.0,1.44,0.3,3,0.186,1.2,12,0.10200000000000001,0.5,5
8,"(76, 373)",6130,62.0,1.11,0.3,3,0.276,1.0,10,0.276,0.7,7
